gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained,acmg_sf,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels,combined_actionability_v2
RNASEH2B,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"THYR, AN_TH, SEIZ, HYPOTO",0.2962962962962963,high,10.0,0.5685185185185184,0.00078377,0.8278,1.401,-0.74038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5685185185185184
RNASEH2C,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"THYR, AN_TH, SEIZ, HYPOTO",0.1228070175438596,high,10.0,0.4991228070175438,1.0517e-08,1.2353,1.755,-1.4882,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4991228070175438
ROR2,2,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,SK,0.4545454545454545,high,108.0,0.6318181818181817,0.3497,0.40603,0.543,1.2805,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6318181818181817
RPGR,1,4.0,1.0,3.0,1.0,1.0,1,1,1,2.0,PULM,0.4515151515151515,high,113.0,0.7806060606060605,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8306060606060606
RPGRIP1L,2,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"REN, SK, SEIZ",0.4657534246575342,high,118.0,0.6363013698630137,4.2917e-23,0.76061,0.907,1.0197,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6363013698630137
RPL11,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.4444444444444444,high,16.0,0.6277777777777778,0.99902,0.13247,0.342,1.9033,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7277777777777777
RPL35A,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,1.0,AN_TH,0.24,medium,6.0,0.181,0.99874,0.0,0.202,1.5549,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.281
RPL5,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.2923076923076923,high,17.0,0.5669230769230769,1.0,0.0,0.096,2.5375,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6669230769230768
RPS10,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,1.0,AN_TH,0.25,high,12.0,0.185,0.99983,0.084222,0.265,2.1838,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.28500000000000003
RPS15,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,,,,0.4499999999999999,0.1769,0.46646,0.981,1.7068,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4499999999999999
RPS17,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.875,medium,7.0,0.8,0.99969,0.0,0.17,3.1938,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9
RPS19,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.5,high,16.0,0.6499999999999999,0.99966,0.050384,0.239,2.3157,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7499999999999999
RPS24,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.3,high,12.0,0.57,0.99945,0.0,0.182,1.6762,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6699999999999999
RPS26,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.5,high,18.0,0.6499999999999999,0.99588,0.067351,0.32,2.7399,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7499999999999999
RPS6KA3,1,4.0,1.0,3.0,1.0,1.0,1,1,1,3.0,SEIZ,0.7108433734939759,high,53.0,0.8843373493975903,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8843373493975903
RPS7,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,1.0,AN_TH,0.125,medium,4.0,0.135,0.99613,0.066799,0.317,1.8932,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.23500000000000001
RRM2B,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,BOW,0.3305084745762712,high,60.0,0.5822033898305085,0.27091,0.41583,0.688,1.1926,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5822033898305085
RS1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,3.0,,0.5692307692307692,high,139.0,0.6776923076923076,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6776923076923076
RSPH4A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,PULM,0.3396226415094339,high,34.0,0.5858490566037735,4.7138e-08,0.62286,0.816,1.4941,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6358490566037736
RSPH9,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,PULM,0.3529411764705882,high,10.0,0.5911764705882352,1.5639e-09,0.95441,1.316,0.61837,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6411764705882352
RUNX2,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,SK,0.2528735632183908,high,36.0,0.7011494252873562,0.99998,0.2076,0.352,1.7904,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8011494252873562
RYR1,5,4.0,1.0,3.0,1.0,0.6083333333333333,1,1,1,1.0,HYPOTO,0.3465140478668054,high,542.0,0.7386056191467222,2.293e-56,0.58868,0.644,4.0067,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8386056191467222
RYR2,2,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"CM, COND",0.3760092272202999,high,554.0,0.75040369088812,1.0,0.36842,0.424,6.4389,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9504036908881199
SACS,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,,0.647196261682243,high,251.0,0.7088785046728971,1.0713000000000001e-30,0.57165,0.644,3.0242,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7088785046728971
SALL1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"REN, SK",0.3444444444444444,high,58.0,0.7377777777777778,1.0,0.13416,0.228,2.1498,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8377777777777777
SAMHD1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"THYR, AN_TH, SEIZ",0.6986301369863014,high,41.0,0.7294520547945205,2.4032e-07,0.65842,0.889,1.5222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7294520547945205
