gene_symbol,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels
ATAD3A,0,0,0,0,0,1,0,0,0,0,1
ATIC,0,0,0,0,0,1,0,0,0,0,1
ATN1,0,0,0,0,0,0,0,0,1,0,1
ATP11A,0,0,0,1,0,0,0,0,0,0,1
ATP13A2,0,0,0,0,0,1,0,0,0,0,1
ATP1A1,0,0,0,0,0,0,0,0,1,0,1
ATP1A2,0,0,0,0,0,0,0,0,1,0,1
ATP1A3,0,0,0,0,0,0,0,0,1,0,1
ATP2B2,0,0,0,1,0,0,0,0,0,0,1
ATP5A1,0,0,0,0,0,1,0,0,0,0,1
ATP5D,0,0,0,0,0,1,0,0,0,0,1
ATP5E,0,0,0,0,0,1,0,0,0,0,1
ATP5G3,0,0,0,0,0,1,0,0,0,0,1
ATP5O,0,0,0,0,0,0,0,0,1,0,1
ATP6V0A1,0,0,0,0,0,0,0,0,1,0,1
ATP6V0A2,0,0,0,0,0,0,0,0,1,1,2
ATP6V0C,0,0,0,0,0,0,0,0,1,0,1
ATP6V1A,0,0,0,0,0,0,0,0,1,0,1
ATP6V1B1,0,0,0,1,0,0,0,0,0,0,1
ATP6V1B2,0,0,0,1,0,0,0,0,0,0,1
ATP7A,0,0,0,0,0,0,0,0,1,1,2
ATRX,0,0,0,0,0,0,0,0,1,0,1
AXIN1,0,0,0,0,0,0,0,0,0,1,1
B3GALT6,0,0,0,0,0,0,0,0,0,1,1
B3GAT3,0,0,0,0,0,0,0,0,0,1,1
B3GLCT,0,0,0,0,0,0,0,0,0,1,1
B4GALT7,0,0,0,0,0,0,0,0,0,1,1
B9D2,0,0,0,0,0,0,0,1,0,0,1
BAP1,0,0,0,0,0,0,0,0,1,0,1
BBS1,0,0,0,0,0,0,0,1,0,1,2
BBS10,0,0,0,0,0,0,0,1,0,1,2
BBS12,0,0,0,0,0,0,0,1,0,1,2
BBS2,0,0,0,0,0,0,0,1,0,1,2
BBS4,0,0,0,0,0,0,0,1,0,1,2
BBS5,0,0,0,0,0,0,0,1,0,1,2
BBS7,0,0,0,0,0,0,0,1,0,1,2
BBS9,0,0,0,0,0,0,0,1,0,1,2
BCKDHA,0,0,0,0,0,0,0,0,1,0,1
BCKDHB,0,0,0,0,0,0,0,0,1,0,1
BCS1L,0,0,0,1,0,0,0,0,1,0,2
BGN,0,1,0,0,0,0,0,0,0,1,2
BHLHA9,0,0,0,0,0,0,0,0,0,1,1
BMP1,0,0,0,0,0,0,0,0,0,1,1
BMP2,0,0,0,0,0,0,0,0,0,1,1
BMPER,0,0,0,0,0,0,0,0,0,1,1
BMPR1B,0,0,0,0,0,0,0,0,0,1,1
BOLA3,0,0,0,0,0,0,0,0,1,0,1
BRAF,0,0,0,0,0,0,0,0,1,0,1
BRAT1,0,0,0,0,0,0,0,0,1,0,1
BRSK1,0,0,0,0,0,0,0,0,1,0,1
BSCL2,0,0,0,0,0,0,0,0,1,0,1
BSND,0,0,0,1,0,0,0,0,0,0,1
BTD,0,0,1,0,0,0,0,0,1,0,2
C11ORF70,0,0,0,0,0,0,1,0,0,0,1
C12ORF57,0,0,0,0,0,0,0,0,1,0,1
C12ORF66,0,0,0,0,0,0,0,0,1,0,1
C21ORF2,0,0,0,0,0,0,0,0,0,1,1
C21ORF59,0,0,0,0,0,0,1,0,0,0,1
C2CD3,0,0,0,0,0,0,0,0,0,1,1
C5ORF42,0,0,0,0,0,0,0,1,0,0,1
CA2,0,0,0,0,0,0,0,0,0,1,1
CABP2,0,0,0,1,0,0,0,0,0,0,1
CANT1,0,0,0,0,0,0,0,0,0,1,1
CASR,0,0,0,0,0,0,0,0,0,1,1
CBFB,0,0,0,0,0,0,0,0,0,1,1
CC2D2A,0,0,0,0,0,0,0,1,0,1,2
CCDC103,0,0,0,0,0,0,1,0,0,0,1
CCDC114,0,0,0,0,0,0,1,0,0,0,1
CCDC151,0,0,0,0,0,0,1,0,0,0,1
CCDC39,0,0,0,0,0,0,1,0,0,0,1
CCDC40,0,0,0,0,0,0,1,0,0,0,1
CCDC50,0,0,0,1,0,0,0,0,0,0,1
CCDC65,0,0,0,0,0,0,1,0,0,0,1
CCDC8,0,0,0,0,0,0,0,0,0,1,1
CCNO,0,0,0,0,0,0,1,0,0,0,1
CD40LG,0,0,0,0,1,0,0,0,0,0,1
CDC14A,0,0,0,1,0,0,0,0,0,0,1
CDC45,0,0,0,0,0,0,0,0,0,1,1
CDH23,0,0,0,1,0,0,0,0,0,0,1
CDH3,0,0,0,0,0,0,0,0,0,1,1
CDKN1C,0,0,0,0,0,0,0,0,0,1,1
CDT1,0,0,0,0,0,0,0,0,0,1,1
CEACAM16,0,0,0,1,0,0,0,0,0,0,1
CENPF,0,0,0,0,0,0,0,1,0,0,1
CEP104,0,0,0,0,0,0,0,1,0,0,1
CEP120,0,0,0,0,0,0,0,0,0,1,1
CEP164,0,0,0,0,0,0,1,1,0,0,2
CEP250,0,0,0,1,0,0,0,0,0,0,1
CEP290,0,0,0,0,0,0,0,1,0,1,2
CEP41,0,0,0,0,0,0,0,1,0,0,1
CEP78,0,0,0,1,0,0,0,0,0,0,1
CEP83,0,0,0,0,0,0,0,1,0,0,1
CFAP221,0,0,0,0,0,0,1,0,0,0,1
CFAP47,0,0,0,0,0,0,0,1,0,0,1
CFAP53,1,0,0,0,0,0,0,0,0,0,1
CFAP54,0,0,0,0,0,0,1,0,0,0,1
CFAP74,0,0,0,0,0,0,1,0,0,0,1
CFC1,1,0,0,0,0,0,0,0,0,0,1
CFTR,0,0,0,0,0,0,1,0,0,0,1
CHD7,0,0,0,1,0,0,0,0,0,0,1
CHST14,0,0,0,0,0,0,0,0,0,1,1
CHST3,0,0,0,0,0,0,0,0,0,1,1
CHSY1,0,0,0,0,0,0,0,0,0,1,1
CIB2,0,0,0,1,0,0,0,0,0,0,1
CISD2,0,0,0,1,0,0,0,0,0,0,1
CLCN5,0,0,0,0,0,0,0,1,0,1,2
CLCN7,0,0,0,0,0,0,0,0,0,1,1
CLDN14,0,0,0,1,0,0,0,0,0,0,1
CLDN9,0,0,0,1,0,0,0,0,0,0,1
CLPP,0,0,0,1,0,0,0,0,0,0,1
CLRN1,0,0,0,1,0,0,0,0,0,0,1
COCH,0,0,0,1,0,0,0,0,0,0,1
COL11A1,0,0,0,1,0,0,0,0,0,0,1
COL11A2,0,0,0,1,0,0,0,0,0,0,1
COL1A1,0,1,0,0,0,0,0,0,0,0,1
COL1A2,0,1,0,0,0,0,0,0,0,0,1
COL2A1,0,0,0,1,0,0,0,0,0,0,1
COL3A1,0,1,0,0,0,0,0,0,0,0,1
COL4A1,0,0,0,0,0,0,0,1,0,0,1
COL4A5,0,0,0,1,0,0,0,0,0,0,1
COL5A1,0,1,0,0,0,0,0,0,0,0,1
COL5A2,0,1,0,0,0,0,0,0,0,0,1
COL9A1,0,0,0,1,0,0,0,0,0,0,1
COL9A2,0,0,0,1,0,0,0,0,0,0,1
COL9A3,0,0,0,1,0,0,0,0,0,0,1
CRB2,0,0,0,0,0,0,0,1,0,0,1
CRLS1,0,0,0,1,0,0,0,0,0,0,1
CRYM,0,0,0,1,0,0,0,0,0,0,1
CSPP1,0,0,0,0,0,0,0,1,0,0,1
CTLA4,0,0,0,0,1,0,0,0,0,0,1
CTNND1,1,0,0,0,0,0,0,0,0,0,1
CYBA,0,0,0,0,1,0,0,0,0,0,1
CYBB,0,0,0,0,1,0,0,0,0,0,1
CYP24A1,0,0,0,0,0,0,0,1,0,0,1
DAP3,0,0,0,1,0,0,0,0,0,0,1
DCLRE1C,0,0,0,0,1,0,0,0,0,0,1
DDX59,0,0,0,0,0,0,0,1,0,0,1
DFNA5,0,0,0,1,0,0,0,0,0,0,1
DFNB59,0,0,0,1,0,0,0,0,0,0,1
DHCR7,0,0,0,0,0,0,0,1,0,0,1
DIAPH1,0,0,0,1,0,0,0,0,0,0,1
DLG5,0,0,0,0,0,0,0,1,0,0,1
DNAAF1,0,0,0,0,0,0,1,0,0,0,1
DNAAF2,0,0,0,0,0,0,1,0,0,0,1
DNAAF3,0,0,0,0,0,0,1,0,0,0,1
DNAAF4,0,0,0,0,0,0,1,0,0,0,1
DNAAF5,0,0,0,0,0,0,1,0,0,0,1
DNAH11,0,0,0,0,0,0,1,0,0,0,1
DNAH5,0,0,0,0,0,0,1,0,0,0,1
DNAH9,0,0,0,0,0,0,1,0,0,0,1
DNAI1,0,0,0,0,0,0,1,0,0,0,1
DNAI2,0,0,0,0,0,0,1,0,0,0,1
DNAJB11,0,0,0,0,0,0,0,1,0,0,1
DNAJB13,0,0,0,0,0,0,1,0,0,0,1
DNAL1,0,0,0,0,0,0,1,0,0,0,1
DOCK8,0,0,0,0,1,0,0,0,0,0,1
DRC1,0,0,0,0,0,0,1,0,0,0,1
DYNC2H1,0,0,0,0,0,0,0,1,0,0,1
DZIP1L,0,0,0,0,0,0,0,1,0,0,1
EFCAB1,0,0,0,0,0,0,1,0,0,0,1
EFEMP2,0,1,0,0,0,0,0,0,0,0,1
ELN,1,1,0,0,0,0,0,0,0,0,2
EPCAM,0,0,0,0,1,0,0,0,0,0,1
FBLN5,0,1,0,0,0,0,0,0,0,0,1
FBN1,0,1,0,0,0,0,0,0,0,0,1
FBN2,0,1,0,0,0,0,0,0,0,0,1
FBP1,0,0,1,0,0,0,0,0,0,0,1
FLCN,0,1,0,0,0,0,0,1,0,0,2
FLNA,1,1,0,0,0,0,0,0,0,0,2
FOXJ1,0,0,0,0,0,0,1,0,0,0,1
FOXP3,0,0,0,0,1,0,0,0,0,0,1
G6PC,0,0,1,0,0,0,0,0,0,0,1
GANAB,0,0,0,0,0,0,0,1,0,0,1
GAS2L2,0,0,0,0,0,0,1,0,0,0,1
GAS8,0,0,0,0,0,0,1,0,0,0,1
GATA4,1,0,0,0,0,0,0,0,0,0,1
GATA6,1,0,0,0,0,0,0,0,0,0,1
GBE1,0,0,1,0,0,0,0,0,0,0,1
GDF1,1,0,0,0,0,0,0,0,0,0,1
GLA,0,0,0,0,0,0,0,1,0,0,1
GLIS2,0,0,0,0,0,0,0,1,0,0,1
GUCY2C,0,0,0,0,1,0,0,0,0,0,1
GYS2,0,0,1,0,0,0,0,0,0,0,1
HLCS,0,0,1,0,0,0,0,0,0,0,1
HNF1B,0,0,0,0,0,0,0,1,0,0,1
HPS1,0,0,0,0,1,0,0,0,0,0,1
HPS4,0,0,0,0,1,0,0,0,0,0,1
HPS6,0,0,0,0,1,0,0,0,0,0,1
HYAL2,1,0,0,0,0,0,0,0,0,0,1
HYDIN,0,0,0,0,0,0,1,0,0,0,1
HYLS1,0,0,0,0,0,0,0,1,0,0,1
ICK,0,0,0,0,0,0,0,1,0,0,1
ICOS,0,0,0,0,1,0,0,0,0,0,1
IFT122,0,0,0,0,0,0,0,1,0,0,1
IFT140,0,0,0,0,0,0,0,1,0,0,1
IFT172,0,0,0,0,0,0,0,1,0,0,1
IFT27,0,0,0,0,0,0,0,1,0,0,1
IFT43,0,0,0,0,0,0,0,1,0,0,1
IL10,0,0,0,0,1,0,0,0,0,0,1
IL10RA,0,0,0,0,1,0,0,0,0,0,1
IL10RB,0,0,0,0,1,0,0,0,0,0,1
IL2RA,0,0,0,0,1,0,0,0,0,0,1
IL2RG,0,0,0,0,1,0,0,0,0,0,1
INPP5E,0,0,0,0,0,0,0,1,0,0,1
INVS,0,0,0,0,0,0,0,1,0,0,1
IPO8,0,1,0,0,0,0,0,0,0,0,1
IQCB1,0,0,0,0,0,0,0,1,0,0,1
IVD,0,0,1,0,0,0,0,0,0,0,1
JAG1,1,0,0,0,0,0,0,0,0,0,1
KIAA0586,0,0,0,0,0,0,0,1,0,0,1
KIAA0753,0,0,0,0,0,0,0,1,0,0,1
KIF7,0,0,0,0,0,0,0,1,0,0,1
LDHA,0,0,1,0,0,0,0,0,0,0,1
LOX,0,1,0,0,0,0,0,0,0,0,1
LRRC56,0,0,0,0,0,0,1,0,0,0,1
LRRC6,0,0,0,0,0,0,1,0,0,0,1
LZTFL1,0,0,0,0,0,0,0,1,0,0,1
MAPKBP1,0,0,0,0,0,0,0,1,0,0,1
MCEE,0,0,1,0,0,0,0,0,0,0,1
MCIDAS,0,0,0,0,0,0,1,0,0,0,1
MEFV,0,0,0,0,1,0,0,0,0,0,1
MMP21,1,0,0,0,0,0,0,0,0,0,1
MUT,0,0,1,0,0,0,0,0,0,0,1
MVK,0,0,0,0,1,0,0,0,0,0,1
MYH11,0,1,0,0,0,0,0,0,0,0,1
MYH6,1,0,0,0,0,0,0,0,0,0,1
MYLK,0,1,0,0,0,0,0,0,0,0,1
MYO5B,0,0,0,0,1,0,0,0,0,0,1
NCF1,0,0,0,0,1,0,0,0,0,0,1
NEK10,0,0,0,0,0,0,1,0,0,0,1
NFKB1,0,0,0,0,0,0,1,0,0,0,1
NFKB2,0,0,0,0,0,0,1,0,0,0,1
NKX2-5,1,0,0,0,0,0,0,0,0,0,1
NME5,0,0,0,0,0,0,1,0,0,0,1
NODAL,1,0,0,0,0,0,0,0,0,0,1
NOTCH1,0,1,0,0,0,0,0,0,0,0,1
NOTCH2,1,0,0,0,0,0,0,0,0,0,1
NR2F2,1,0,0,0,0,0,0,0,0,0,1
OFD1,0,0,0,0,0,0,1,0,0,0,1
OTULIN,0,0,0,0,1,0,0,0,0,0,1
OXCT1,0,0,1,0,0,0,0,0,0,0,1
PC,0,0,1,0,0,0,0,0,0,0,1
PCCA,0,0,1,0,0,0,0,0,0,0,1
PCCB,0,0,1,0,0,0,0,0,0,0,1
PGM1,0,0,1,0,0,0,0,0,0,0,1
PHKA2,0,0,1,0,0,0,0,0,0,0,1
PHKB,0,0,1,0,0,0,0,0,0,0,1
PHKG2,0,0,1,0,0,0,0,0,0,0,1
PIH1D3,0,0,0,0,0,0,1,0,0,0,1
PIK3CD,0,0,0,0,0,0,1,0,0,0,1
PIK3R1,0,0,0,0,0,0,1,0,0,0,1
PLOD1,0,1,0,0,0,0,0,0,0,0,1
PRKG1,0,1,0,0,0,0,0,0,0,0,1
PYGL,0,0,1,0,0,0,0,0,0,0,1
RAG1,0,0,0,0,1,0,1,0,0,0,2
RAG2,0,0,0,0,1,0,1,0,0,0,2
RPGR,0,0,0,0,0,0,1,0,0,0,1
RSPH1,0,0,0,0,0,0,1,0,0,0,1
RSPH3,0,0,0,0,0,0,1,0,0,0,1
RSPH4A,0,0,0,0,0,0,1,0,0,0,1
RSPH9,0,0,0,0,0,0,1,0,0,0,1
RTEL1,0,0,0,0,1,0,0,0,0,0,1
SAMD9,0,0,0,0,1,0,0,0,0,0,1
SCNN1A,0,0,0,0,0,0,1,0,0,0,1
SCNN1B,0,0,0,0,0,0,1,0,0,0,1
SCNN1G,0,0,0,0,0,0,1,0,0,0,1
SH2D1A,0,0,0,0,1,0,0,0,0,0,1
SKI,0,1,0,0,0,0,0,0,0,0,1
SKIV2L,0,0,0,0,1,0,0,0,0,0,1
SLC16A1,0,0,1,0,0,0,0,0,0,0,1
SLC2A10,0,1,0,0,0,0,0,0,0,0,1
SLC2A2,0,0,1,0,0,0,0,0,0,0,1
SLC37A4,0,0,1,0,1,0,0,0,0,0,2
SMAD2,0,1,0,0,0,0,0,0,0,0,1
SMAD3,0,1,0,0,0,0,0,0,0,0,1
SMAD4,0,1,0,0,0,0,0,0,0,0,1
SPAG1,0,0,0,0,0,0,1,0,0,0,1
SPEF2,0,0,0,0,0,0,1,0,0,0,1
SPRED2,1,0,0,0,0,0,0,0,0,0,1
STAT3,0,0,0,0,1,0,0,0,0,0,1
STXBP2,0,0,0,0,1,0,0,0,0,0,1
TAB2,1,0,0,0,0,0,0,0,0,0,1
TANGO2,0,0,1,0,0,0,0,0,0,0,1
TBX20,1,0,0,0,0,0,0,0,0,0,1
TBX5,1,0,0,0,0,0,0,0,0,0,1
TGFB2,0,1,0,0,0,0,0,0,0,0,1
TGFB3,0,1,0,0,0,0,0,0,0,0,1
TGFBR1,0,1,0,0,0,0,0,0,0,0,1
TGFBR2,0,1,0,0,0,0,0,0,0,0,1
TLL1,1,0,0,0,0,0,0,0,0,0,1
TP73,0,0,0,0,0,0,1,0,0,0,1
TRAF7,1,0,0,0,0,0,0,0,0,0,1
TTC12,0,0,0,0,0,0,1,0,0,0,1
TTC25,0,0,0,0,0,0,1,0,0,0,1
TTC37,0,0,0,0,1,0,0,0,0,0,1
TTC7A,0,0,0,0,1,0,0,0,0,0,1
TUBB4B,0,0,0,0,0,0,1,0,0,0,1
WAS,0,0,0,0,1,0,0,0,0,0,1
XIAP,0,0,0,0,1,0,0,0,0,0,1
ZIC3,1,0,0,0,0,0,0,0,0,0,1
ZMYND10,0,0,0,0,0,0,1,0,0,0,1
