disease_id,disease_name,source
ORPHA:79320,ALG6-CDG,HPO_root
ORPHA:79325,ALG8-CDG,HPO_root
ORPHA:79328,ALG9-CDG,HPO_root
OMIM:604131,ALPHA-THALASSEMIA,HPO_root
OMIM:502500,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL",HPO_root
OMIM:619151,"AMED syndrome, digenic",HPO_root
OMIM:300194,AMME complex,HPO_root
OMIM:204800,"AMOBARBITAL, DEFICIENT N-HYDROXYLATION OF",HPO_root
OMIM:105570,"ANDROSTENONE, ABILITY TO SMELL",HPO_root
ORPHA:157954,ANE syndrome,HPO_root
ORPHA:356996,ANK3-related intellectual disability-sleep disturbance syndrome,HPO_root
OMIM:106900,ANONYCHIA-ECTRODACTYLY,HPO_root
OMIM:301700,ANOSMIA,HPO_root
OMIM:207780,AREDYLD,HPO_root
ORPHA:1133,AREDYLD syndrome,HPO_root
OMIM:108320,"ARTICHOKE, MODIFICATION OF TASTE BY",HPO_root
OMIM:108390,"ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY",HPO_root
OMIM:209300,ATRANSFERRINEMIA,HPO_root
ORPHA:85451,ATTRV122I amyloidosis,HPO_root
ORPHA:85447,ATTRV30M amyloidosis,HPO_root
OMIM:109000,AURICULOOSTEODYSPLASIA,HPO_root
ORPHA:401911,AXIN2-related polyposis,HPO_root
OMIM:305400,Aarskog-Scott syndrome,HPO_root
ORPHA:915,Aarskog-Scott syndrome,HPO_root
OMIM:147800,Aase-Smith syndrome I,HPO_root
ORPHA:916,Aase-Smith syndrome type 1,HPO_root
OMIM:605552,Abdominal obesity-metabolic syndrome 1,HPO_root
OMIM:615812,Abdominal obesity-metabolic syndrome 3,HPO_root
OMIM:618620,Abdominal obesity-metabolic syndrome 4,HPO_root
OMIM:605572,Abdominal obesity-metabolic syndrome quantitative trait locus 2,HPO_root
OMIM:100200,Abducens palsy,HPO_root
ORPHA:14,Abetalipoproteinemia,HPO_root
ORPHA:920,Ablepharon macrostomia syndrome,HPO_root
OMIM:200110,Ablepharon-Macrostomia syndrome,HPO_root
OMIM:261990,"Abnormal hair, joint laxity, and developmental delay",HPO_root
ORPHA:99050,Abnormal origin of right or left pulmonary artery from the aorta,HPO_root
ORPHA:921,Abruzzo-Erickson syndrome,HPO_root
ORPHA:2310,Absence deformity of leg-cataract syndrome,HPO_root
ORPHA:1658,Absence of fingerprints-congenital milia syndrome,HPO_root
ORPHA:980,Absence of the pulmonary artery,HPO_root
ORPHA:3016,Absent radius-anogenital anomalies syndrome,HPO_root
ORPHA:945,Acalvaria,HPO_root
OMIM:100600,Acanthosis nigricans,HPO_root
OMIM:200170,Acanthosis nigricans with muscle cramps and acral enlargement,HPO_root
ORPHA:90301,Acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome,HPO_root
ORPHA:926,Acatalasemia,HPO_root
OMIM:614097,Acatalasemia,HPO_root
OMIM:161600,Accessory navicular bone,HPO_root
ORPHA:48818,Aceruloplasminemia,HPO_root
