gene_symbol,n_total_variants,n_pathogenic,n_likely_pathogenic,n_benign,n_likely_benign,n_vus,pathogenic_fraction,benign_fraction,clinical_actionability
SUBSET OF 126 GENES: SOX10,2,2,0,0,0,0,1.0,0.0,low
LOC110120880,2,2,0,0,0,0,1.0,0.0,low
LOC110120882,2,2,0,0,0,0,1.0,0.0,low
LOC110120883,2,2,0,0,0,0,1.0,0.0,low
LOC126863146,2,2,0,0,0,0,1.0,0.0,low
LOC130067396,2,2,0,0,0,0,1.0,0.0,low
LOC130067397,2,2,0,0,0,0,1.0,0.0,low
PICK1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 99 GENES: MEG3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 257 GENES: CNTNAP5:GLI2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 474 GENES: NUS1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 174 GENES: LMX1B:NR5A1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 357 GENES: PAFAH1B1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 331 GENES: CLCN5:EBP:FTSJ1:IQSEC2:KDM5C:PHF8:PORCN:PQBP1:SLC35A2:SMC1A:SYN1:SYP:WAS:WDR45:ZNF41,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 436 GENES: CACNA1A:LDLR:NFIX:SMARCA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 246 GENES: SIN3A,2,2,0,0,0,0,1.0,0.0,low
MYF5,4,2,0,0,0,2,0.5,0.0,low
SNORD140,2,2,0,0,0,0,1.0,0.0,low
ST13,4,2,0,2,0,0,0.5,0.5,low
SUBSET OF 523 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 121 GENES: BRCA2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 783 GENES: BRCA2:NBEA:RB1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 81 GENES: BRCA2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 148 GENES: NBEA,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 443 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 345 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
TOR1AIP2,2,2,0,0,0,0,1.0,0.0,low
LOC112577517,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 229 GENES: ABCB4:SEMA3A:SGCE,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 411 GENES: PBX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 463 GENES: NUS1,2,2,0,0,0,0,1.0,0.0,low
LOC129391238,6,2,0,0,0,4,0.3333333333333333,0.0,low
SUBSET OF 334 GENES: CHAMP1,2,2,0,0,0,0,1.0,0.0,low
"COVERS 457 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 214 GENES: TERT,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 300 GENES: BMPR2:CASP10,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 237 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 232 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
RBX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 43 GENES: CRKL,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 69 GENES: ITPR1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 582 GENES: CAMTA1:CHD5:GNB1,2,2,0,0,0,0,1.0,0.0,low
LOC129391298,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 98 GENES: ZIC2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 371 GENES: CHAMP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 365 GENES: CHAMP1,2,2,0,0,0,0,1.0,0.0,low
LOC106050102,6,2,0,0,0,4,0.3333333333333333,0.0,low
LOC129391299,2,2,0,0,0,0,1.0,0.0,low
LOC130068176,2,2,0,0,0,0,1.0,0.0,low
PINCR,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 59 GENES: AFF2:FMR1:IDS,2,2,0,0,0,0,1.0,0.0,low
LOC126863242,2,2,0,0,0,0,1.0,0.0,low
LOC126863243,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 204 GENES: EDNRB,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 213 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 485 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 401 GENES: FOXG1:PAX9,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 451 GENES: CSMD1:GATA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 118 GENES: MEF2C:RASA1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 130 GENES: PKD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 379 GENES: TGIF1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 165 GENES: TGIF1,2,2,0,0,0,0,1.0,0.0,low
"COVERS 433 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 10 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 284 GENES: BRPF1:ITPR1:SETD5:SLC6A1:VHL,2,2,0,0,0,0,1.0,0.0,low
PRY2,20,2,0,10,4,4,0.1,0.7,low
RBMY1F,16,2,0,4,4,6,0.125,0.5,low
TTTY5,18,2,0,6,4,6,0.1111111111111111,0.5555555555555556,low
TTTY6B,14,2,0,2,4,6,0.14285714285714285,0.42857142857142855,low
"COVERS 344 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 374 GENES: MSX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 147 GENES: ITPR1,2,2,0,0,0,0,1.0,0.0,low
LOC126862084,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1046 GENES: CSMD1:GATA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 162 GENES: SHOX:SRY,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1551 GENES: BRAF:CNTNAP2:DPP6:FLNC:KCNH2:KMT2C:MNX1:POT1:SHH:UBN2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 483 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
BRMS1L,2,2,0,0,0,0,1.0,0.0,low
LOC126861917,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 143 GENES: ITPR1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 50 GENES: BRPF1:SETD5,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 65 GENES: BRPF1:VHL,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 315 GENES: CHD8:HNRNPC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 843 GENES: CHD8:FOXG1:HNRNPC:PAX9,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 110 GENES: CHD8:HNRNPC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 50 GENES: CHD8:HNRNPC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 10 GENES: CHD8:HNRNPC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 11 GENES: CHD8,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 219 GENES: BMP4:GCH1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 347 GENES: GPHN:MAX,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 29 GENES: SHOX,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 2616 GENES: ABCD1:ACSL4:AFF2:ALG13:ANOS1:AP1S2:AR:ARHGEF9:ARSL:ARX:ATP7A:ATRX:AVPR2:BCAP31:BCOR:BRWD3:BTK:CASK:CCNQ:CD40LG:CDKL5:CHM:CHRDL1:CLCN4:CLCN5:CNKSR2:COL4A5:CUL4B:CYBB:DCX:DDX3X:DKC1:DLG3:DMD:EBP:EDA:EFNB1:F8:F9:FANCB:FGD1:FLNA:FMR1:FRMD7:FTSJ1:GDI1:GK:GLA:GPC3:GRIA3:HCCS:HDAC8:HPRT1:IDS:IKBKG:IL1RAPL1:IQSEC2:KDM5C:KDM6A:L1CAM:LAMP2:MAGT1:MAOA:MECP2:MID1:MSL3:MTM1:NAA10:NDP:NEXMIF:NHS:NLGN4X:NONO:NR0B1:NSDHL:NYX:OCRL:OFD1:OPHN1:OTC:PAK3:PCDH19:PDHA1:PGK1:PHEX:PHF6:PHF8:PIGA:PLP1:PORCN:POU3F4:PQBP1:PRPS1:PTCHD1:RAB39B:RP2:RPS6KA3:RS1:SH2D1A:SLC16A2:SLC35A2:SLC6A8:SLC9A6:SMC1A:SMS:SOX3:STAG2:STS:SYN1:SYP:TBX22:TIMM8A:TMLHE:TRAPPC2:TSPAN7:UBE2A:UPF3B:USP9X:WAS:WDR45:XIAP:XIST:ZC4H2:ZDHHC9:ZIC3:ZNF41:ZNF711,2,2,0,0,0,0,1.0,0.0,low
"COVERS 642 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 295 GENES: MYLK,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 113 GENES: FOXP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 10 GENES: NR0B1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 233 GENES: IGF1R,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 221 GENES: RPS26,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 201 GENES: CAMTA1:CHD5,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 306 GENES: CASZ1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 278 GENES: DMRT1:NFIB,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 81 GENES: SLC6A1:VHL,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 332 GENES: BAP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 237 GENES: FOXP1:MITF,2,2,0,0,0,0,1.0,0.0,low
LOC110121041,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 304 GENES: ELANE:STK11,2,2,0,0,0,0,1.0,0.0,low
ITPKC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 218 GENES: APP:DIP2A:DSCAM:DYRK1A:ITSN1:RUNX1:SON,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 46 GENES: CRKL:TBX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 468 GENES: GNAS:KCNQ2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 350 GENES: CSNK2A1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 369 GENES: CHAMP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 245 GENES: EBF3,2,2,0,0,0,0,1.0,0.0,low
"COVERS 229 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",4,2,2,0,0,0,1.0,0.0,medium
LOC130055499,2,2,0,0,0,0,1.0,0.0,low
LOC130055500,2,2,0,0,0,0,1.0,0.0,low
LOC130055501,2,2,0,0,0,0,1.0,0.0,low
RALGAPA1,4,2,0,0,2,0,0.5,0.5,low
SNORA101B,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 64 GENES: PAX9,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 132 GENES: NPRL3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 70 GENES: GATA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 11 GENES: MSH2:MSH6,2,2,0,0,0,0,1.0,0.0,low
LOC129933826,2,2,0,0,0,0,1.0,0.0,low
LOC129933827,2,2,0,0,0,0,1.0,0.0,low
LOC129933828,2,2,0,0,0,0,1.0,0.0,low
PUS10,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 358 GENES: ARCN1:HMBS:KMT2A,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 54 GENES: AFF2:FMR1:IDS,2,2,0,0,0,0,1.0,0.0,low
DOK6,8,2,0,0,0,4,0.25,0.0,low
"COVERS 628 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 516 GENES: CIC:ERF:RPS19,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 148 GENES: CACNA1C,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 968 GENES: EXT1:PUF60:RAD21:TRPS1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 160 GENES: AUTS2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 343 GENES: DIP2A,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 158 GENES: IRF2BPL,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 203 GENES: DICER1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 37 GENES: GDF5,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 189 GENES: IGF1R,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 536 GENES: CTNND2:DNAJC21:TRIO,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 150 GENES: MNX1:SHH,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 709 GENES: CHAMP1:ZIC2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 627 GENES: DDX41:FBXW11:MSX2:NKX2-5:NSD1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 144 GENES: CACNA1C,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 500 GENES: APC:NR2F1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 511 GENES: BARD1:BMPR2:CASP10:ERBB4:SATB2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 204 GENES: TERT,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 502 GENES: MYCN:MYT1L:RPS7:SOX11,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 257 GENES: GNB1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 151 GENES: CHAMP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 382 GENES: CRKL:TBX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 684 GENES: ANKRD11:FOXC2:FOXF1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 507 GENES: PRRT2:SETD1A:SH2B1:SRCAP,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 222 GENES: FLCN:RAI1,2,2,0,0,0,0,1.0,0.0,low
PIGW,6,2,0,2,0,2,0.3333333333333333,0.3333333333333333,low
SUBSET OF 295 GENES: BMPR2:CASP10,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 180 GENES: ACTC1:MEIS2:SPRED1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 221 GENES: ACTC1:MEIS2:SPRED1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 33 GENES: FLNA:MECP2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 185 GENES: MYLK,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 223 GENES: ATR:FOXL2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 109 GENES: ATR,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 166 GENES: CDC42BPB,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 179 GENES: CDC42BPB,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 87 GENES: UBE3A,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 37 GENES: FH,4,2,0,0,0,2,0.5,0.0,low
SUBSET OF 10 GENES: SOX2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 56 GENES: MBD5,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 553 GENES: TMEM127,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 284 GENES: FOXL2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 560 GENES: NAF1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 149 GENES: CACNA1C,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 88 GENES: MEF2C,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 483 GENES: CTNND2:TERT:TRIO,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 141 GENES: NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 448 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 849 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 561 GENES: FGF12:PAK2:TP63,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 228 GENES: FGF12:TP63,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 72 GENES: TP63,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 252 GENES: GNB1,2,2,0,0,0,0,1.0,0.0,low
C10ORF55,4,2,0,0,2,0,0.5,0.5,low
LOC126860960,4,2,0,0,2,0,0.5,0.5,low
SUBSET OF 574 GENES: CSNK2A1:JAG1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 175 GENES: PUF60,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 373 GENES: CASZ1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 201 GENES: GATA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 234 GENES: GNB1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 267 GENES: GNB1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 49 GENES: MYT1L,4,2,2,0,0,0,1.0,0.0,medium
SUBSET OF 453 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1249 GENES: FGF12:PAK2:SOX2:TBL1XR1:TP63,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 91 GENES: CLCN5:IQSEC2:KDM5C:PHF8:SMC1A,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1481 GENES: ABCD1:ACSL4:AFF2:ALG13:AR:ARHGEF9:ATP7A:ATRX:AVPR2:BCAP31:BRWD3:BTK:CCNQ:CD40LG:CHM:CHRDL1:COL4A5:CUL4B:DCX:DKC1:DLG3:EDA:EFNB1:F8:F9:FLNA:FMR1:FRMD7:GDI1:GLA:GPC3:GRIA3:HDAC8:HPRT1:IDS:IKBKG:L1CAM:LAMP2:MAGT1:MECP2:MTM1:NAA10:NEXMIF:NONO:NSDHL:OCRL:OPHN1:PAK3:PCDH19:PGK1:PHF6:PLP1:POU3F4:PRPS1:RAB39B:SH2D1A:SLC16A2:SLC6A8:SLC9A6:SOX3:STAG2:TBX22:TIMM8A:TMLHE:UBE2A:UPF3B:XIAP:XIST:ZC4H2:ZDHHC9:ZIC3:ZNF711,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 101 GENES: ACTC1:MEIS2:SPRED1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 289 GENES: LEO1:TCF12,2,2,0,0,0,0,1.0,0.0,low
LOC105378311,6,2,0,0,0,4,0.3333333333333333,0.0,low
MIR548F1,6,2,0,0,0,4,0.3333333333333333,0.0,low
SUBSET OF 57 GENES: SETBP1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 254 GENES: NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 24 GENES: TP63,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1017 GENES: SOX9,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1051 GENES: ANOS1:AP1S2:ARSL:ARX:BCOR:CASK:CDKL5:CLCN4:CLCN5:CNKSR2:CYBB:DDX3X:DMD:EBP:FANCB:FTSJ1:GK:HCCS:IL1RAPL1:KDM6A:MAOA:MID1:MSL3:NDP:NHS:NLGN4X:NR0B1:NYX:OFD1:OTC:PDHA1:PHEX:PIGA:PORCN:PQBP1:PTCHD1:RP2:RPS6KA3:RS1:SHOX:SLC35A2:SMS:STS:SYN1:SYP:TRAPPC2:TSPAN7:USP9X:WAS:WDR45:ZNF41,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1595 GENES: ABCD1:ACSL4:AFF2:ALG13:AR:ARHGEF9:ATP7A:ATRX:AVPR2:BCAP31:BRWD3:BTK:CCNQ:CD40LG:CHM:CHRDL1:COL4A5:CUL4B:DCX:DKC1:DLG3:EDA:EFNB1:F8:F9:FGD1:FLNA:FMR1:FRMD7:GDI1:GLA:GPC3:GRIA3:HDAC8:HPRT1:IDS:IKBKG:IQSEC2:KDM5C:L1CAM:LAMP2:MAGT1:MECP2:MTM1:NAA10:NEXMIF:NONO:NSDHL:OCRL:OPHN1:PAK3:PCDH19:PGK1:PHF6:PHF8:PLP1:POU3F4:PRPS1:RAB39B:SH2D1A:SLC16A2:SLC6A8:SLC9A6:SMC1A:SOX3:STAG2:TBX22:TIMM8A:TMLHE:UBE2A:UPF3B:XIAP:XIST:ZC4H2:ZDHHC9:ZIC3:ZNF711,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 226 GENES: CACNA1C,2,2,0,0,0,0,1.0,0.0,low
SANBR,3,2,0,1,0,0,0.6666666666666666,0.3333333333333333,low
GRM7,18,2,4,0,2,10,0.3333333333333333,0.1111111111111111,medium
SUBSET OF 296 GENES: CRKL:TBX1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 180 GENES: NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 266 GENES: BRPF1:ITPR1:SETD5:VHL,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 343 GENES: APC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 69 GENES: EHMT1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 262 GENES: CHEK2:NF2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1254 GENES: ABCD1:ACSL4:AFF2:ALG13:ATP7A:ATRX:AVPR2:BCAP31:BRWD3:BTK:CCNQ:CD40LG:CHM:CHRDL1:COL4A5:CUL4B:DCX:DKC1:F8:F9:FLNA:FMR1:FRMD7:GDI1:GLA:GPC3:GRIA3:HPRT1:IDS:IKBKG:L1CAM:LAMP2:MAGT1:MECP2:MTM1:NAA10:NEXMIF:NSDHL:OCRL:PAK3:PCDH19:PGK1:PHF6:PLP1:POU3F4:PRPS1:RAB39B:SH2D1A:SLC6A8:SLC9A6:SOX3:STAG2:TBX22:TIMM8A:TMLHE:UBE2A:UPF3B:XIAP:ZDHHC9:ZIC3:ZNF711,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1748 GENES: ANKRD11:CDH1:CNOT1:CTCF:FOXC2:FOXF1:GNAO1,2,2,0,0,0,0,1.0,0.0,low
LOC107032825,2,2,0,0,0,0,1.0,0.0,low
LOC129929048,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1469 GENES: ABCD1:ACSL4:AFF2:ALG13:AR:ARHGEF9:ATP7A:ATRX:AVPR2:BCAP31:BRWD3:BTK:CCNQ:CD40LG:CHM:CHRDL1:COL4A5:CUL4B:DCX:DKC1:DLG3:EDA:EFNB1:F8:F9:FLNA:FMR1:FRMD7:GDI1:GLA:GPC3:GRIA3:HDAC8:HPRT1:IDS:IKBKG:L1CAM:LAMP2:MAGT1:MECP2:MTM1:NAA10:NEXMIF:NONO:NSDHL:OCRL:OPHN1:PAK3:PCDH19:PGK1:PHF6:PLP1:POU3F4:PRPS1:RAB39B:SH2D1A:SLC16A2:SLC6A8:SLC9A6:SOX3:STAG2:TBX22:TIMM8A:TMLHE:UBE2A:UPF3B:XIAP:XIST:ZC4H2:ZDHHC9:ZIC3:ZNF711,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 31 GENES: BRWD3:CHM:ZNF711,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 326 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 330 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 424 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 672 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 449 GENES: MSX1:NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 297 GENES: NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1009 GENES: EP300:SHANK3:SOX10:TCF20:TNRC6B,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 165 GENES: ITPR1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 504 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 497 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 80 GENES: DLL1:ERMARD,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 156 GENES: NSD2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 117 GENES: RPL15,2,2,0,0,0,0,1.0,0.0,low
"COVERS 250 GENES, NONE OF WHICH CURATED TO SHOW DOSAGE SENSITIVITY",2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 217 GENES: MYLK,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 111 GENES: AXIN2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 570 GENES: GDF5:RALGAPB,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 121 GENES: APC,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 379 GENES: ASTN2,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 438 GENES: RB1,2,2,0,0,0,0,1.0,0.0,low
CLTCL1,4,2,0,0,0,2,0.5,0.0,low
SUBSET OF 262 GENES: SHANK3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 613 GENES: RB1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 1079 GENES: ANOS1:AP1S2:ARSL:ARX:BCOR:CASK:CDKL5:CLCN4:CLCN5:CNKSR2:CYBB:DDX3X:DMD:EBP:FANCB:FTSJ1:GK:HCCS:IL1RAPL1:IQSEC2:KDM5C:KDM6A:MAOA:MID1:MSL3:NDP:NHS:NLGN4X:NR0B1:NYX:OFD1:OTC:PDHA1:PHEX:PIGA:PORCN:PQBP1:PTCHD1:RP2:RPS6KA3:RS1:SHOX:SLC35A2:SMC1A:SMS:STS:SYN1:SYP:TRAPPC2:TSPAN7:USP9X:WAS:WDR45:ZNF41,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 139 GENES: ACVRL1,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 10 GENES: GATA4,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 111 GENES: EXT1:RAD21:TRPS1,2,2,0,0,0,0,1.0,0.0,low
FMR1-AS1,3,2,0,0,0,1,0.6666666666666666,0.0,low
SUBSET OF 434 GENES: ABCD1:AFF2:AVPR2:BCAP31:CCNQ:DKC1:F8:F9:FLNA:FMR1:GDI1:IDS:IKBKG:L1CAM:MECP2:MTM1:NAA10:NSDHL:RAB39B:SLC6A8:SOX3:TMLHE:ZIC3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 137 GENES: AFF2:F9:FMR1:IDS:MTM1:SOX3,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 60 GENES: AVPR2:FLNA:L1CAM:MECP2:NAA10,2,2,0,0,0,0,1.0,0.0,low
SUBSET OF 75 GENES: ABCD1:AVPR2:BCAP31:CCNQ:L1CAM:MECP2:NAA10:SLC6A8,2,2,0,0,0,0,1.0,0.0,low
