Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
ARID1B,Coffin-Siris syndrome,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"22426308, 23929686, 23906836, 23815551, 22426309",SEIZ,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ARMC4,Primary ciliary dyskinesia,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"23849778, 24203976",PULM,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75
ARSA,Metachromatic leukodystrophy,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"2574462, 2906225, 1673113, 7866401, 7981715, 24001781, 10477432, 15326627, 9090526 ","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
ARSB,Mucopolysaccharidosis type VI (Maroteaux-Lamy),Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"1550123,  15324318, 1718978, 14974081, 8116615","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
ARX,"Lissencephaly, X-linked 2",Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12379852, 18462864, 14722918, 22252899, 19439424","SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0
ASL,Argininosuccinic aciduria,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12384776, 1594374, 12408190, 17326097","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
ASPA,Canavan disease,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"8252036, 16437572, 3354621, 16854607, 8659549, 12638939","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
ASS1,Citrullinemia,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"11941481, 2358466,  19006241,  12815590,  7977368","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
ATM,Ataxia-telangiectasia,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"9915942, 12497634, 9259193, 9600235",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
ATP1A2,Hemiplegic migraine,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"18513263, 18644608, 18056581, 24921013, 20837964",,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ATP2A1,Brody myopathy,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"10914677, 8841193, 20142766, 9367679, 23911890, 25614869",HYPOTO,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75
ATP6V0A2,"Cutis laxa, autosomal recessive, type IIA",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"22773132, 10406678, 18157129, 5579863","SK, SEIZ, HYPOTO, DERM",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.75
ATP6V1B1,Renal tubular acidosis & hearing loss,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"9916796, 12414817, 18368028","HL, REN",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.75
ATP7A,Menkes syndrome,Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"17717039, 15981243, 2289318, 4075564","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
ATP7A,Occipital horn syndrome,Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"8914740, 7887410, 11431706,  24002164,  17108763","IEM, SEIZ, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
ATP7B,Wilson disease,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"8298639, 10441329, 16791614, 16088907, 24706876, 17919502, 23235335, 18373411","BIL, IEM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
ATP8B1,"Cholestasis, progressive familial intrahepatic 1",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"15239083, 9500542, 11815775",BIL,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ATRX,Alpha-thalassemia/mental retardation syndrome,Definitive,XLD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"9326931, 18409179, 11449489, 7697714, 16763962, 16813605, 8968741","AN_TH, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0
AUH,"3-methylglutaconic aciduria, type I",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"112434311, 7130438, 10070612, 12655555, 20855850","IEM, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.75
AVPR2,"Diabetes insipidus, nephrogenic",Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"10820168,  8104196,  8037205,  23150186,  9853256 ","REN, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0
B3GALTL,Peters-Plus syndrome,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"18798333, 16909395, 23889335","THYR, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.75
BAAT,Bile acid amidation defect,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,12704386,"BIL, AN_TH",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75
BBS1,Bardet-Biedl syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"12118255, 12524598, 12677556, 19797195, 22773737, 24611592, 20177705",REN,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
BBS10,Bardet-Biedl syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16823392, 16582908, 23219996, 20498079, 20472660",REN,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
BBS12,Bardet-Biedl syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"17160889, 20827784, 21344540, 20120035, 24849935",REN,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
BBS2,Bardet-Biedl syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"11285252, 11567139,  15666242",REN,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
BBS4,Bardet-Biedl syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"11381270, 12016587, 20177705,  15666242, 23591405",REN,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
BBS5,Bardet-Biedl syndrome,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"15137946, 18203199,  21209035, 21642631, 24559376, 26325687, 26766544",REN,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75
BBS7,Bardet-Biedl syndrome,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"12567324, 9402160, 19666486, 20177705, 23462753, 24849935",REN,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75
BBS9,Bardet-Biedl syndrome,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16380913, 20177705, 24041679,  21052717, 21209035",REN,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75
BCKDHA,Maple syrup urine disease,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"2703538, 9609836, 9582350, 16786533, 8037208, 13813934, 2022752, 19480318","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
BCKDHB,Maple syrup urine disease,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"2022752, 14517957, 14567968, 22727569, 11509994, 11448970, 14742428","IEM, SEIZ",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
BCS1L,Complex 3 deficiency,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"11528392, 12215968,  22277166, 17403714, 20472482, 20518024",,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
