disease_id,disease_name,cluster,genes,umap_x,umap_y
ORPHA:1775,,1,"DKC1, NPM1, PARN",-1.5333067,5.679861
ORPHA:177901,,3,"NDN, OCA2, SNRPN",-1.8621643,0.72904855
ORPHA:177904,,3,"NDN, OCA2, SNRPN",-1.8300426,0.73033094
ORPHA:177907,,3,SNRPN,-2.2478697,1.1730607
ORPHA:1826,,2,"FLNA, MAP3K7",-4.5891776,4.506364
ORPHA:1830,,1,SMARCAL1,-1.4250971,5.411188
ORPHA:1900,,2,PLOD1,-3.6303601,6.494744
ORPHA:192,,2,RPS6KA3,-3.171294,5.1399198
ORPHA:193,,0,VPS13B,-4.618213,2.9180017
ORPHA:198,,2,ATP7A,-3.771126,6.3476977
ORPHA:199,,0,"RAD21, SMC1A, SMC3",-4.8920593,2.4772735
ORPHA:201,,1,"AKT1, PIK3CA, PTEN",-0.51416874,4.6948023
ORPHA:2020,,2,"ACTA1, ITGA7, MYL2",-3.4895341,5.3566713
ORPHA:2044,,3,SRCAP,-4.3048153,2.0399406
ORPHA:2052,,0,"GRIP1, FRAS1, FREM2",-5.244405,4.1956477
ORPHA:206436,,1,"GALC, PSAP",-0.7497532,4.8815722
ORPHA:2072,,1,GBA1,-1.5779527,5.163858
ORPHA:2092,,0,PORCN,-5.453071,3.6072552
ORPHA:209905,,0,NKX2-1,-0.67139035,4.165369
ORPHA:2131,,1,"ATP1A2, ATP1A3, CACNA1A",-0.42233482,4.522639
ORPHA:217085,,1,IDS,-2.3195674,6.2546825
ORPHA:217093,,1,IDS,-2.3912413,6.193479
ORPHA:2203,,1,AASS,-0.20417488,3.8794668
ORPHA:220386,,1,"FGF8, FGFR1, GAS1",-0.052923743,3.7673714
ORPHA:221008,,1,ANAPC1,-1.6144577,5.7875648
ORPHA:221016,,1,RECQL4,-1.655782,5.8409276
ORPHA:221139,,2,"PIK3CD, KNSTRN",-2.5326238,3.7941668
ORPHA:2273,,1,MBTPS2,-3.7604508,3.7638235
ORPHA:2308,,0,FLI1,-4.643374,3.5214157
ORPHA:2322,,0,"KDM6A, KMT2D",-4.4878726,2.7525194
ORPHA:233,,0,"CHN1, MAFB, SALL4",-4.823027,2.8103807
ORPHA:235,,0,"LIG4, NSUN2",-4.859983,2.771332
ORPHA:2363,,0,"FGF10, FGFR3, FGFR2",-5.5252643,3.4397113
ORPHA:2388,,1,VPS13A,-0.34784573,5.264475
ORPHA:239,,1,DYM,-1.3506693,3.3113813
ORPHA:2396,,1,"FGFR1, KRAS",-0.4432351,4.7157454
ORPHA:2461,,0,PIEZO2,-3.9761126,3.9650886
ORPHA:247262,,3,"PIGL, PGAP2, PIGV",-2.3222976,2.8279767
ORPHA:2495,,1,"AKT1, NF2, PDGFB",-0.30748966,5.7639785
ORPHA:251028,,3,SATB2,-1.9235023,2.3361151
ORPHA:2526,,0,KIF11,-2.9117486,3.955255
ORPHA:254892,,1,"SLC25A4, POLG, POLG2",-0.2196017,5.1536503
ORPHA:2556,,1,"COX7B, HCCS, NDUFB11",-1.0471559,4.314183
ORPHA:261323,,3,KIF15,-3.6382134,2.2572112
ORPHA:261330,,0,"BCR, CRKL, MAPK1",-3.2036777,2.480018
ORPHA:2614,,1,LMX1B,-1.1240109,6.08069
ORPHA:261537,,0,ZEB2,-4.1270065,1.555607
ORPHA:261552,,0,ZEB2,-4.080989,1.6122178
ORPHA:2636,,2,RNU4ATAC,-4.3786283,4.232185
ORPHA:2658,,2,PTDSS1,-4.2691545,3.8735228
ORPHA:268261,,3,DYRK1A,-2.9314446,1.2841477
ORPHA:2710,,0,GJA1,-4.9456935,3.1655872
ORPHA:2745,,0,MID1,-4.2456675,2.684352
ORPHA:2750,,2,OFD1,-4.9966993,4.082426
ORPHA:2753,,0,TCTN3,-4.149129,4.1767797
ORPHA:2785,,1,CA2,-2.9389727,5.3795295
ORPHA:280,,0,"CTBP1, LETM1, NSD2",-4.924569,2.9343183
ORPHA:280633,,3,PIGN,-2.280016,3.5156307
ORPHA:2834,,2,ATP6V0A2,-3.4128673,5.252187
ORPHA:286,,2,COL3A1,-4.4632764,5.0280423
ORPHA:287,,2,"COL1A1, COL5A1, COL5A2",-3.4990659,6.568483
ORPHA:2896,,3,TCF4,-1.668184,1.780032
ORPHA:2953,,2,"DSE, CHST14",-4.2126474,3.1510727
ORPHA:2990,,2,"CHRNG, MYH3",-4.8440285,5.0530005
ORPHA:2995,,1,"ACTB, ACTG1",-3.484879,3.5769763
ORPHA:300570,,3,TUBB3,-1.9394548,2.9860787
ORPHA:3063,,2,SMS,-4.644615,5.5852437
ORPHA:309282,,2,MAN2B1,-1.9164015,2.6916177
ORPHA:3107,,2,"DVL1, DVL3, FZD2",-4.3572245,4.5676727
ORPHA:319182,,3,KMT2A,-3.0899708,2.7620068
ORPHA:321,,1,"EXT1, EXT2",-1.2779777,5.9923844
ORPHA:324,,1,GLA,-0.54621786,5.717336
ORPHA:3261,,1,"FAS, FASLG, CASP10",-0.80740565,5.973352
ORPHA:329224,,3,PACS1,-3.0250025,2.121624
ORPHA:333,,1,ASAH1,-0.8402231,5.1346345
ORPHA:33364,,1,"CARS1, ERCC2, ERCC3",-3.8675807,2.6308043
ORPHA:3342,,3,SLC2A10,-4.480703,4.2613316
ORPHA:3455,,1,POLR3A,-3.3937793,3.7082865
ORPHA:3472,,0,"FIG4, VAC14",-3.7376275,4.1313615
ORPHA:35107,,1,DHCR24,-3.146071,4.09076
ORPHA:352665,,0,HNRNPK,-3.5994592,1.0806903
ORPHA:353277,,0,CREBBP,-4.5312967,1.9733144
ORPHA:353281,,0,CREBBP,-4.400324,1.8555226
ORPHA:353284,,0,EP300,-4.516572,2.0143006
ORPHA:356961,,1,SLC35A2,-0.5521761,3.6355584
ORPHA:357074,,3,"ATP6V1A, ATP6V1E1, ATP6V0A2",-2.653561,3.831359
ORPHA:358,,1,"CLCNKB, SLC12A3",-0.74600387,5.6572394
ORPHA:363528,,3,ADAT3,-2.668886,3.027116
ORPHA:363611,,3,CTCF,-3.27348,2.7739556
ORPHA:363700,,2,NF1,-3.7855475,3.836884
ORPHA:363958,,3,KANSL1,-3.397316,1.087882
ORPHA:363965,,3,KANSL1,-3.4172747,1.0955218
ORPHA:364028,,3,GRIA3,-2.841847,1.4657094
ORPHA:369837,,3,PIGT,-2.3878155,3.7094238
ORPHA:369891,,3,MED13L,-2.3549309,2.4561565
ORPHA:37042,,1,FOXP3,-0.6898852,5.45774
ORPHA:373,,2,"GPC4, GPC3",-4.3567624,3.802046
ORPHA:391372,,3,FOXP1,-3.3364437,1.1955372
ORPHA:391408,,3,"PPP1R15B, TRMT10A",-3.0373173,2.191288
ORPHA:397715,,2,"KIAA0586, CSPP1",-3.2888052,4.268544
ORPHA:398069,,3,MAGEL2,-1.8245906,0.77980554
ORPHA:398079,,3,SIM1,-1.8467382,0.72305596
ORPHA:404448,,3,ADNP,-2.5197625,1.5189905
ORPHA:404454,,1,NGLY1,-1.4694332,3.876626
ORPHA:439822,,2,PDE4D,-3.9982035,2.3410778
ORPHA:443811,,1,PGM3,-0.6294568,4.1016703
ORPHA:444077,,0,AFF4,-4.74528,2.2024014
ORPHA:453504,,0,HNRNPK,-3.5719845,1.0494156
ORPHA:457279,,3,PPP2R5D,-2.0303853,2.1108897
ORPHA:457395,,2,RSPRY1,-3.5885158,5.9516926
ORPHA:459070,,3,RPL10,-3.0027406,1.7751607
ORPHA:464,,1,IKBKG,-0.34612095,4.7549114
ORPHA:464311,,3,DYRK1A,-2.743808,1.1612893
ORPHA:464738,,0,MED25,-3.9381142,1.690333
ORPHA:466768,,1,MORC2,-0.23741113,4.912493
ORPHA:466791,,3,NONO,-2.146738,1.9371551
ORPHA:466950,,3,WAC,-2.447443,1.786903
ORPHA:468631,,3,RTTN,-3.2541733,3.0322714
ORPHA:468678,,3,POGZ,-2.1804724,1.6604342
ORPHA:470,,1,SLC7A7,-1.111015,5.6711984
ORPHA:477,,1,"GJB2, GJB6",-2.8792076,5.0818563
ORPHA:480880,,3,USP9X,-3.7123282,2.7061844
ORPHA:481152,,1,PYCR2,-1.1973246,3.3057117
ORPHA:487796,,3,CDC42,-3.653095,2.2154346
ORPHA:488632,,3,TBCK,-3.2324126,1.2731874
ORPHA:496641,,3,TBCD,-1.2152418,3.5400848
ORPHA:500150,,3,SON,-2.3824863,3.2152002
ORPHA:505248,,1,VPS33A,-2.029815,4.162406
ORPHA:506358,,3,YY1,-2.6404977,1.2326959
ORPHA:508488,,3,PUF60,-3.3121061,2.7321916
ORPHA:508498,,0,PUF60,-3.9316046,1.9240772
ORPHA:508533,,3,EXTL3,-2.1412413,3.4175138
ORPHA:51,,1,"ADAR, RNASEH2A, TREX1",-1.0933119,5.041057
ORPHA:513456,,3,WDR26,-1.5050064,2.015799
ORPHA:51608,,1,"ABCC6, ENPP1",-0.57508266,5.250013
ORPHA:522077,,3,SYT1,-1.5904051,2.403021
ORPHA:534,,1,OCRL,-5.0348,2.52206
ORPHA:536467,,2,B3GALT6,-3.5658338,5.614918
ORPHA:536532,,2,AEBP1,-3.7135532,6.4354353
ORPHA:544488,,3,ODC1,-3.3296509,1.9959646
ORPHA:550,,1,"MT-CO1, MT-CO2, MT-CO3",-0.25341558,5.2242227
ORPHA:567,,0,"ARVCF, COMT, GP1BB",-5.030224,2.5877235
ORPHA:572798,,1,WARS2,-0.53441495,4.277
ORPHA:576,,2,GNPTAB,-2.4755762,6.2625885
ORPHA:64,,1,ALMS1,-1.2657008,4.6694903
ORPHA:642,,1,NTRK1,-1.2516973,5.9185
ORPHA:649,,1,NDP,-1.4772999,4.4114485
ORPHA:652,,1,"CDKN1A, CDKN1B, CDKN2B",-0.37113097,6.0661664
ORPHA:672,,0,GLI3,-4.9844017,3.5411654
ORPHA:7,,2,"WASHC5, CCDC22",-4.4581137,3.7231104
ORPHA:70474,,1,"NDUFB8, NDUFS2, SURF1",-0.6786885,4.733838
ORPHA:709,,2,B3GLCT,-5.072917,3.2900822
ORPHA:740,,2,"LMNA, ZMPSTE24",-3.1028895,5.8235726
ORPHA:744,,2,"AKT1, PTEN",-4.5953455,4.2840595
ORPHA:763,,2,CTSK,-4.257789,5.2524023
ORPHA:769,,0,INSR,-2.451338,5.589962
ORPHA:79259,,1,SLC37A4,-1.212594,5.82287
ORPHA:79282,,1,MMACHC,-0.9122137,4.7542095
ORPHA:79318,,3,PMM2,-1.8705887,2.8738015
ORPHA:79322,,1,DPM1,-1.6021829,3.868214
ORPHA:79324,,3,ALG12,-2.1076548,1.5811151
ORPHA:79328,,2,ALG9,-3.038199,4.1322618
