orpha_code,name,disorder_type,group,synonyms,geo_prevalence
163927,Pustulosis palmaris et plantaris,Disease,Disorder,LPP|Localized pustular psoriasis|PPP|Palmoplantar pustulosis,Global
163937,"X-linked intellectual disability, Najm type",Disease,Disorder,MICPCH|X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome,Global
163934,Atopic keratoconjunctivitis,Disease,Disorder,,Global
163918,OBSOLETE: Non-paraneoplastic limbic encephalitis,Category,Group of disorders,,Global
163914,OBSOLETE: Limbic encephalitis with nCMAgs antibodies,Disease,Disorder,OBSOLETE: Limbic encephalitis with novel cell membrane antigen antibodies,Global
163924,OBSOLETE: Non-herpetic acute limbic encephalitis,Disease,Disorder,,Global
614,Thomsen and Becker disease,Disease,Disorder,Myotonia congenita,Global
163921,Posttransplant acute limbic encephalitis,Particular clinical situation in a disease or syndrome,Disorder,PALE,Global
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Disorder,X-linked dominant chondrodysplasia-hydrocephaly-microphthalmia syndrome,Global
163971,"X-linked intellectual disability, Cilliers type",Disease,Disorder,X-linked intellectual disability-microcephaly-testicular failure syndrome,Global
163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Disorder,,Global
163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Disorder,,Global
163953,"X-linked intellectual disability, Raymond type",Disease,Disorder,,Global
163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,X-linked intellectual disability-nail dystrophy-seizures syndrome,Global
163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Disorder,"X-linked intellectual disability, Kroes type",Global
164004,Middle and/or inner ear anomaly,Category,Group of disorders,,Global
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,Disease,Disorder,AML and myelodysplastic syndromes related to radiation,Global
324,Fabry disease,Disease,Disorder,Alpha-galactosidase A deficiency|Anderson-Fabry disease|FD,Global
163982,X-linked intellectual disability-spastic quadriparesis syndrome,Disease,Disorder,,Global
163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,,Global
778,Rett syndrome,Disease,Disorder,,Global
163988,"OBSOLETE: Developmental delay-deafness syndrome, Hildebrand type",Malformation syndrome,Disorder,,Global
164001,Rare odontal or periodontal disorder,Category,Group of disorders,,Global
72,Angelman syndrome,Malformation syndrome,Disorder,,Global
165661,Genetic pancreatic disease,Category,Group of disorders,,Global
307,Juvenile myoclonic epilepsy,Disease,Disorder,JME|Juvenile myoclonus epilepsy,Global
165658,Genetic gastro-esophageal disease,Category,Group of disorders,,Global
165655,Genetic intestinal disease,Category,Group of disorders,,Global
165652,Rare genetic gastroenterological disease,Category,Group of disorders,,Global
