orpha_code,name,disorder_type,group,synonyms,geo_prevalence
364526,Primary bone dysplasia,Category,Group of disorders,Primary osteodysplasia|Primary skeletal dysplasia,Global
364536,Primary bone dysplasia with micromelia,Category,Group of disorders,Primary osteodysplasia with micromelia|Primary skeletal dysplasia with micromelia,Global
364531,"Primary bone dysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments",Category,Group of disorders,"Primary osteodysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments|Primary skeletal dysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments",Global
364198,Bipartite talus,Morphological anomaly,Disorder,,Global
363417,Temtamy preaxial brachydactyly syndrome,Malformation syndrome,Disorder,,Global
363409,Fetal akinesia-cerebral and retinal hemorrhage syndrome,Disease,Disorder,Lethal congenital contracture syndrome type 5|LCCS5,Global
363412,Hypomyelination with brain stem and spinal cord involvement and leg spasticity,Disease,Disorder,HBSL,Global
363429,Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome,Disease,Disorder,,Global
363432,Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency,Clinical subtype,Subtype of disorder,Autosomal recessive congenital cerebellar ataxia due to ionotropic glutamate receptor delta-2 subunit deficiency|SCAR18,Global
363424,Multiple mitochondrial dysfunctions syndrome type 3,Disease,Disorder,IBA57 deficiency|MMDS3,Global
363314,Genetic intestinal polyposis,Category,Group of disorders,Familial intestinal polyposis,Global
363300,Genetic intractable diarrhea of infancy,Category,Group of disorders,,Global
363306,Genetic intestinal disease due to fat malabsorption,Category,Group of disorders,,Global
363396,High myopia-sensorineural deafness syndrome,Disease,Disorder,High myopia-sensorineural hearing loss syndrome,Global
363400,Progressive encephalopathy-severe neurodegeneration-lipodystrophy syndrome,Disease,Disorder,Severe neurodegenerative syndrome due to BSCL2 deficiency|Celia encephalopathy|Celia disease,Global
363266,OBSOLETE: Rare hereditary iron overload disease,Category,Group of disorders,,Global
363250,Ciliopathy,Category,Group of disorders,,Global
363294,Genetic syndromic Pierre Robin syndrome,Category,Group of disorders,,Global
363245,Genetic progeroid syndrome,Category,Group of disorders,,Global
363203,Ring chromosome syndrome,Category,Group of disorders,,Global
363189,Congenital anomaly of the great veins,Category,Group of disorders,,Global
363618,LMNA-related cardiocutaneous progeria syndrome,Disease,Disorder,LCPS,Global
363623,GMPPB-related limb-girdle muscular dystrophy R19,Disease,Disorder,LGMD2T|Autosomal recessive limb-girdle muscular dystrophy type 2T|GMPPB-related LGMD R19|Limb-girdle muscular dystrophy type 2T|LGMD type 2T,Global
363629,OBSOLETE: GMPPB-related congenital muscular dystrophy,Disease,Disorder,OBSOLETE: GMPPB-related CMD,Global
363649,Mandibular hypoplasia-deafness-progeroid features-lipodystrophy syndrome,Disease,Disorder,MDPL syndrome|MDP syndrome|Mandibular hypoplasia-hearing loss-progeroid syndrome,Global
363654,X-linked parkinsonism-spasticity syndrome,Disease,Disorder,XPDS,Global
363659,20q11.2 microduplication syndrome,Malformation syndrome,Disorder,Dup(20)(q11.2),Global
363665,Acroosteolysis-keloid-like lesions-premature aging syndrome,Disease,Disorder,"Premature aging syndrome, Penttinen type",Global
363540,Leukoencephalopathy with mild cerebellar ataxia and white matter edema,Disease,Disorder,,Global
363543,Autosomal recessive limb-girdle muscular dystrophy type 2R,Disease,Disorder,Autosomal recessive limb-girdle muscular dystrophy due to desmin deficiency|LGMD2R,Global
363549,Acute encephalopathy with biphasic seizures and late reduced diffusion,Disease,Disorder,AESD|AIEF|Acute infantile encephalopathy predominantly affecting the frontal lobes,Global
363558,New-onset refractory status epilepticus,Disease,Disorder,NORSE,Global
363567,Acute encephalopathy with inflammation-mediated status epilepticus,Clinical group,Group of disorders,,Global
363579,Extragonadal germ cell tumor,Category,Group of disorders,,Global
363582,Gonadal germ cell tumor,Category,Group of disorders,,Global
363611,CTCF-related neurodevelopmental disorder,Disease,Disorder,,Global
363504,Germ cell tumor of testis,Category,Group of disorders,Testicular germ cell tumor,Global
363494,Non-seminomatous germ cell tumor of testis,Disease,Disorder,Non-dysgerminomatous germ cell tumor of testis|Testicular non seminomatous germ cell tumor|Testicular non-dysgerminomatous germ cell tumor,Global
363523,Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome,Disease,Disorder,Shaheen syndrome,Global
363534,"Mitochondrial DNA depletion syndrome, hepatocerebrorenal form",Disease,Disorder,"mtDNA depletion syndrome, hepatocerebrorenal form",Global
363528,Intellectual disability-strabismus syndrome,Disease,Disorder,,Global
363444,THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome,Malformation syndrome,Disorder,Beaulieu-Boycott-Innes syndrome|BBIS,Global
363454,BICD2-related autosomal dominant childhood-onset proximal spinal muscular atrophy,Etiological subtype,Subtype of disorder,SMALED2|BICD2-related lower extremity-predominant autosomal dominant proximal spinal muscular atrophy with contractures,Global
363447,Autosomal dominant childhood-onset proximal spinal muscular atrophy,Disease,Disorder,Lower extremity-predominant autosomal dominant proximal spinal muscular atrophy|SMALED,Global
363478,Paratesticular adenocarcinoma,Disease,Disorder,Adenocarcinoma of the paratestis,Global
363472,Tumor of testis and paratestis,Category,Group of disorders,Testicular and paratesticular tumor,Global
363489,Sex cord-stromal tumor of testis,Disease,Disorder,Testicular sex cord-stromal tumor,Global
363483,Testicular teratoma,Disease,Disorder,Teratoma of the testis,Global
357175,Short ulna-dysmorphism-hypotonia-intellectual disability syndrome,Malformation syndrome,Disorder,,Global
357329,Combined immunodeficiency due to IL21R deficiency,Disease,Disorder,CID due to IL21R deficiency|Combined immunodeficiency due to interleukin 21 receptor deficiency,Global
357332,Syndactyly-camptodactyly and clinodactyly of fifth fingers-bifid toes syndrome,Malformation syndrome,Disorder,Synactyly-camptodactyly and clinodactyly of fifth fingers-bifid halluces syndrome|Wahab syndrome,Global
357220,Primary essential cutis verticis gyrata,Disease,Disorder,,Global
357225,Primary non-essential cutis verticis gyrata,Disease,Disorder,,Global
357237,Combined immunodeficiency due to CARD11 deficiency,Disease,Disorder,CID due to CARD11 deficiency|Combined immunodeficiency due to caspase recruitment domain family member 11 protein deficiency,Global
357506,Genetic non-syndromic renal or urinary tract malformation,Category,Group of disorders,,Global
357502,Idiopathic nephrotic syndrome,Clinical group,Group of disorders,,Global
356978,"D,L-2-hydroxyglutaric aciduria",Disease,Disorder,"Combined D-2-hydroxyglutaric acidemia and L-2-hydroxyglutaric acidemia|Combined D-2-hydroxyglutaric aciduria and L-2-hydroxyglutaric aciduria|D,L-2-HGA|D,L-2-hydroxyglutaric acidemia",Global
356947,3q26q27 microdeletion syndrome,Malformation syndrome,Disorder,Del(3)(q26q27)|Monosomy 3q26q27,Global
356961,SLC35A2-CDG,Disease,Disorder,CDG syndrome type IIm|CDG-IIm|CDG2M|Congenital disorder of glycosylation type 2m|Congenital disorder of glycosylation type IIm,Global
357008,Hemolytic uremic syndrome with DGKE deficiency,Disease,Disorder,HUS with DGKE deficiency,Global
357001,19p13.13 microdeletion syndrome,Malformation syndrome,Disorder,Del(19)(p13.13)|Monosomy 19p13.13,Global
356996,ANK3-related intellectual disability-sleep disturbance syndrome,Disease,Disorder,,Global
357043,Amyotrophic lateral sclerosis type 4,Disease,Disorder,ALS4|Distal hereditary motor neuropathy with upper motor neuron signs|dHMN with upper motor neuron signs,Global
357034,Non-hereditary retinoblastoma,Clinical subtype,Subtype of disorder,,Global
357027,Hereditary retinoblastoma,Clinical subtype,Subtype of disorder,,Global
357074,"Autosomal recessive cutis laxa type 2, classic type",Clinical subtype,Subtype of disorder,"ARCL2, Debré type|ARCL2, classic type|Autosomal recessive cutis laxa type 2, Debré type",Global
357064,Autosomal recessive cutis laxa type 2B,Disease,Disorder,"ARCL2, progeroid type|ARCL2B|Autosomal recessive cutis laxa type 2, progeroid type",Global
357058,Autosomal recessive cutis laxa type 2A,Disease,Disorder,ARCL2A,Global
357158,Mandibulofacial dysostosis-macroblepharon-macrostomia syndrome,Disease,Disorder,Macroblepharon-ectropion-hypertelorism-macrostomia syndrome,Global
357154,Oral submucous fibrosis,Disease,Disorder,OSMF,Global
357131,Venous thoracic outlet syndrome,Clinical subtype,Subtype of disorder,Effort subclavian vein thrombosis|Paget-Schrotter disease|VTOS|Venous TOS|Venous cervical rib syndrome|Venous costoclavicular syndrome|Venous hyperabduction syndrome|Venous scalenus anticus syndrome|Venous thoracic outlet compression syndrome,Global
357107,Arterial thoracic outlet syndrome,Clinical subtype,Subtype of disorder,ATOS|Arterial TOS|Arterial cervical rib syndrome|Arterial costoclavicular syndrome|Arterial hyperabduction syndrome|Arterial scalenus anticus syndrome|Arterial thoracic outlet compression syndrome,Global
352654,Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,Disease,Disorder,Autosomal recessive spastic paraplegia type 79,Global
352662,Corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,Disease,Disorder,,Global
352657,Hereditary benign intraepithelial dyskeratosis,Disease,Disorder,HBID|Hereditary benign corneal intraepithelial dyskeratosis,Global
352641,Autosomal recessive cerebellar ataxia with late-onset spasticity,Disease,Disorder,Autosomal recessive cerebellar ataxia due to GBA2 deficiency,Global
352636,Phalangeal microgeodic syndrome,Disease,Disorder,Phalangeal osteolysis,Global
352649,Brain dopamine-serotonin vesicular transport disease,Disease,Disorder,,Global
352596,Progressive myoclonic epilepsy with dystonia,Disease,Disorder,PMED|Progressive myoclonus epilepsy with dystonia,Global
352629,16q24.1 microdeletion syndrome,Disease,Disorder,Del(16)(q24.1)|Monosomy 16q24.1,Global
352613,Male infertility due to NANOS1 mutation,Disease,Disorder,,Global
352577,Bainbridge-Ropers syndrome,Disease,Disorder,Severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome,Global
352587,Focal epilepsy-intellectual disability-cerebro-cerebellar malformation,Disease,Disorder,Focal epilepsy-intellectual disability-dysarthria-ataxia syndrome,Global
352582,Familial infantile myoclonic epilepsy,Disease,Disorder,FIME|Familial infantile myoclonus epilepsy,Global
352728,Disorder of melanin metabolism,Category,Group of disorders,,Global
352731,Oculocutaneous albinism type 1,Disease,Disorder,OCA1,Global
352734,Minimal pigment oculocutaneous albinism type 1,Clinical subtype,Subtype of disorder,MP OCA type 1|OCA1-MP,Global
352737,Temperature-sensitive oculocutaneous albinism type 1,Clinical subtype,Subtype of disorder,OCA1-TS|TS OCA type 1,Global
352709,CLN13 disease,Disease,Disorder,Kufs disease type B|Neuronal ceroid lipofuscinosis type 13|NCL13,Global
352712,Facial dysmorphism-immunodeficiency-livedo-short stature syndrome,Disease,Disorder,FILS syndrome,Global
352718,Progressive retinal dystrophy due to retinol transport defect,Disease,Disorder,Retinol dystrophy-iris coloboma-comedogenic acne syndrome,Global
352723,Attenuated Chédiak-Higashi syndrome,Disease,Disorder,Atypical Chédiak-Higashi syndrome,Global
352687,Congenital muscular alpha-dystroglycanopathy with brain and eye anomalies,Clinical group,Group of disorders,Lissencephaly type 2 with muscular and ocular involvement|MDDGA,Global
352694,OBSOLETE: Cobblestone lissencephaly type A,Category,Group of disorders,OBSOLETE: Lissencephaly type 2A,Global
352699,OBSOLETE: Cobblestone lissencephaly type C,Category,Group of disorders,OBSOLETE: Lissencephaly type 2C,Global
352704,OBSOLETE: Cobblestone lissencephaly type B,Disease,Disorder,OBSOLETE: Lissencephaly type 2B,Global
352665,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to 9q21.3 microdeletion,Etiological subtype,Subtype of disorder,9q21.3 microdeletion syndrome|Del(9)(q21.3),Global
352670,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,Disease,Disorder,CMTDIF,Global
352675,X-linked Charcot-Marie-Tooth disease type 6,Disease,Disorder,CMT6X|CMTX6,Global
352682,Cobblestone lissencephaly without muscular or ocular involvement,Disease,Disorder,Cobblestone lissencephaly without muscular or eye involvement|Lissencephaly type 2 without muscular or eye involvement|Lissencephaly type 2 without muscular or ocular involvement,Global
353277,Rubinstein-Taybi syndrome due to CREBBP mutations,Etiological subtype,Subtype of disorder,,Global
353253,Burning mouth syndrome,Disease,Disorder,Stomatopyrosis|BMS|Oral dysesthesia|Orodynia|Stomatodynia,Global
353225,NON RARE IN EUROPE: Primary adult open-angle glaucoma,Disease,Disorder,NON RARE IN EUROPE: POAG,Global
353220,Familial primary localized cutaneous amyloidosis,Disease,Disorder,FPLCA,Global
353217,Epileptic encephalopathy with global cerebral demyelination,Disease,Disorder,AGC1 deficiency|Mitochondrial aspartate-glutamate carrier 1 deficiency,Global
352763,Scleredema,Disease,Disorder,Buschke scleredema,Global
352745,Oculocutaneous albinism type 7,Disease,Disorder,OCA7,Global
352740,Ocular albinism with congenital sensorineural deafness,Disease,Disorder,Waardenburg syndrome type 2 with ocular albinism|Ocular albinism with congenital sensorineural hearing loss,Global
353356,Vasoproliferative tumor of the retina,Disease,Disorder,Retinal vasoproliferative tumor|VPTR|Vasoproliferative tumor of the ocular fundus,Global
353344,Idiopathic macular telangiectasia type 1,Disease,Disorder,Aneurysmal telangiectasia|Visible and exudative idiopathic juxtafoveolar retinal telangiectasis,Global
353351,Idiopathic macular telangiectasia type 3,Disease,Disorder,Occlusive idiopathic juxtafoveolar retinal telangiectasis,Global
353334,Congenital retinal arteriovenous communication,Morphological anomaly,Disorder,Congenital arteriovenous anastomoses of the retina|Congenital arteriovenous communication of the retina|Congenital retinal arteriovenous anastomoses,Global
353320,"Pyruvate carboxylase deficiency, benign type",Clinical subtype,Subtype of disorder,Pyruvate carboxylase deficiency type C,Global
353327,Congenital myasthenic syndrome with glycosylation defect,Etiological subtype,Subtype of disorder,,Global
353308,"Pyruvate carboxylase deficiency, infantile type",Clinical subtype,Subtype of disorder,Pyruvate carboxylase deficiency type A,Global
353314,"Pyruvate carboxylase deficiency, severe neonatal type",Clinical subtype,Subtype of disorder,Pyruvate carboxylase deficiency type B,Global
353298,Roifman syndrome,Disease,Disorder,Spondyloepiphyseal dysplasia-retinal dystrophy-immunodeficiency syndrome,Global
353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion,Etiological subtype,Subtype of disorder,,Global
353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,Etiological subtype,Subtype of disorder,,Global
352298,OBSOLETE: Genetic muscular channelopathy,Category,Group of disorders,,Global
352301,"Disorder of phospholipids, sphingolipids and fatty acids biosynthesis",Category,Group of disorders,,Global
352403,Spectrin-associated autosomal recessive cerebellar ataxia,Disease,Disorder,Infantile-onset spinocerebellar ataxia-psychomotor delay syndrome|Autosomal recessive spinocerebellar ataxia type 14|SCAR14|SPARCA|SPARCA1|Spectrin-associated autosomal recessive cerebellar ataxia type 1,Global
352333,Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,Disease,Disorder,ELOVL4-related neuro ichthyosis|Congenital ichthyosis-intellectual disability-spastic tetraplegia syndrome,Global
352328,MEGDEL syndrome,Disease,Disorder,3-methylglutaconic aciduria with deafness-encephalopathy-Leigh-like syndrome|3-methylglutaconic aciduria with hearing loss-encephalopathy-Leigh-like syndrome,Global
352447,Progressive external ophthalmoplegia-myopathy-emaciation syndrome,Disease,Disorder,Mitochondrial DNA maintenance syndrome due to MGME1 deficiency|PEO-myopathy-emaciation syndrome|mtDNA maintenance syndrome due to MGME1 deficiency,Global
352312,"Disorder of phospholipids, sphingolipids and fatty acids biosynthesis with skeletal muscle predominant involvement",Category,Group of disorders,,Global
352309,"Disorder of phospholipids, sphingolipids and fatty acids biosynthesis with peripheral nerves predominant involvement",Category,Group of disorders,,Global
352306,"Disorder of phospholipids, sphingolipids and fatty acids biosynthesis with central nervous system predominant involvement",Category,Group of disorders,,Global
352530,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,Disease,Disorder,Autosomal recessive intellectual disability due to TRAPPC9 deficiency,Global
352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,Disease,Disorder,COXPD16|Combined oxidative phosphorylation defect type 16,Global
352540,Oncogenic osteomalacia,Disease,Disorder,Oncogenic hypophosphatemic osteomalacia|TIO|Tumor-induced osteomalacia,Global
352479,ISPD-related limb-girdle muscular dystrophy R20,Disease,Disorder,LGMD2U|Autosomal recessive limb-girdle muscular dystrophy type 2U|ISPD-related LGMD R20|Limb-girdle muscular dystrophy type 2U|LGMD type 2U,Global
352482,OBSOLETE: Autosomal recessive limb-girdle muscular dystrophy with cerebellar involvement,Disease,Disorder,OBSOLETE: Autosomal recessive LGMD with cerebellar involvement,Global
352456,Mitochondrial DNA maintenance syndrome,Category,Group of disorders,mtDNA maintenance syndrome,Global
352470,DNA2-related mitochondrial DNA deletion syndrome,Disease,Disorder,Mitochondrial DNA deletion syndrome with limb-girdle weakness|mtDNA deletion syndrome with limb-girdle weakness|mtDNA deletion syndrome with progressive myopathy|Mitochondrial DNA deletion syndrome with progressive myopathy,Global
352497,OBSOLETE: Juvenile parkinsonism with intellectual disability due to DNAJC6 deficiency,Disease,Disorder,,Global
352504,OBSOLETE: Levodopa-unresponsive juvenile parkinsonism,Disease,Disorder,OBSOLETE: L-DOPA-unresponsive juvenile parkinsonism,Global
352487,Digital anomalies-intellectual disability-short stature syndrome,Disease,Disorder,,Global
352490,Autism spectrum disorder due to AUTS2 deficiency,Disease,Disorder,ASD due to AUTS2 deficiency|AUTS2 syndrome,Global
294951,Congenital joint dislocations,Category,Group of disorders,,Global
294949,Non-syndromic joint formation defects,Category,Group of disorders,,Global
294955,Syndrome with limb reduction defects,Category,Group of disorders,,Global
294953,Non-syndromic limb overgrowth,Category,Group of disorders,,Global
294942,OBSOLETE: Postaxial polydactyly of fingers,Category,Group of disorders,OBSOLETE: Postaxial polydactyly of hand,Global
294939,OBSOLETE: Preaxial polydactyly of fingers,Category,Group of disorders,OBSOLETE: Preaxial polydactyly of hand,Global
294947,Congenital deformities of fingers,Category,Group of disorders,,Global
294944,Congenital deformities of limbs,Category,Group of disorders,,Global
294931,OBSOLETE: Adactyly of hand,Category,Group of disorders,OBSOLETE: Fingers absent,Global
294937,OBSOLETE: Brachydactyly,Category,Group of disorders,,Global
294935,OBSOLETE: Split hand or/and split foot malformation,Category,Group of disorders,,Global
294925,Non-syndromic amelia,Clinical group,Group of disorders,,Global
294929,OBSOLETE: Terminal limb defects,Category,Group of disorders,OBSOLETE: Terminal meromelia,Global
294927,Non-syndromic intercalary limb defects,Clinical group,Group of disorders,Non-syndromic intercalary meromelia,Global
294415,Renal-hepatic-pancreatic dysplasia,Malformation syndrome,Disorder,Ivemark II syndrome|Renohepaticopancreatic dysplasia,Global
294422,Chronic intestinal failure,Clinical syndrome,Disorder,CIF,Global
294049,Reunion Island Larsen-like syndrome,Disease,Disorder,Multiple joint dislocations-short stature-hyperlaxity-craniofacial dysmorphism syndrome,Global
294057,Rare nevus,Category,Group of disorders,,Global
294060,Multiple pterygium syndrome,Clinical group,Group of disorders,,Global
293987,Rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome,Disease,Disorder,ROHHAD|ROHHADNET|Rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation-neural tumors syndrome,Global
294016,Microcephaly-capillary malformation syndrome,Malformation syndrome,Disorder,MIC-CAP syndrome|MIC-CM syndrome|Microcephaly-cutaneous capillary malformation syndrome,Global
294023,Neonatal erythroderma-autoinflammation-inflammatory bowel disease syndrome,Disease,Disorder,,Global
294026,Syndactyly-nystagmus syndrome due to 2q31.1 microduplication,Malformation syndrome,Disorder,Syndactyly-nystagmus syndrome due to dup(2)(q31.1)|Syndactyly-nystagmus syndrome due to trisomy 2q31.1,Global
293964,Hypoinsulinemic hypoglycemia and body hemihypertrophy,Disease,Disorder,,Global
293967,Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,Malformation syndrome,Disorder,Hypogonadotropic hypogonadism-severe microcephaly-sensorineural deafness-dysmorphism syndrome,Global
293978,Deficiency in anterior pituitary function-variable immunodeficiency syndrome,Disease,Disorder,DAVID syndrome,Global
293958,Hypertelorism-preauricular sinus-punctual pits-deafness syndrome,Malformation syndrome,Disorder,HPPD|Hypertelorism-preauricular sinus-punctual pits-hearing loss syndrome,Global
293955,Childhood encephalopathy due to thiamine pyrophosphokinase deficiency,Disease,Disorder,,Global
293948,1p21.3 microdeletion syndrome,Malformation syndrome,Disorder,Monosomy 1p21.3|Del(1)(p21.3),Global
293939,Distal Xq28 microduplication syndrome,Malformation syndrome,Disorder,Int22h1/Int22h2 mediated-Xq28 microduplication syndrome|Distal dup(X)q(28)|Distal trisomy Xq28,Global
293936,EDICT syndrome,Disease,Disorder,Autosomal dominant keratoconus with early-onset anterior polar cataracts|Endothelial dystrophy-iris hypoplasia-congenital cataract-stromal thinning syndrome|Familial keratoconus with cataract|KTCNCT,Global
293925,Lethal occipital encephalocele-skeletal dysplasia syndrome,Malformation syndrome,Disorder,,Global
293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant",Clinical subtype,Subtype of disorder,"Arrhythmogenic cardiomyopathy dominant-right variant|Arrhythmogenic cardiomyopathy with right ventricular involvement|Familial isolated arrhytmogenic ventricular dysplasia, right dominant form",Global
293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant",Clinical subtype,Subtype of disorder,"Familial isolated arrhythmogenic ventricular dysplasia, biventricular form",Global
293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant",Clinical subtype,Subtype of disorder,"ALVC|Arrhythmogenic cardiomyopathy dominant-left variant|Arrhythmogenic cardiomyopathy with left ventricular involvement|Familial isolated arrhythmogenic ventricular dysplasia, left-dominant form",Global
293864,Hypoplastic pancreas-intestinal atresia-hypoplastic gallbladder syndrome,Malformation syndrome,Disorder,,Global
293848,"Frontotemporal dementia, right temporal atrophy variant",Disease,Disorder,RTLA|rvFTD,Global
293838,Fatal infantile encephalopathy-pulmonary hypertension syndrome,Disease,Disorder,,Global
293843,3MC syndrome,Malformation syndrome,Disorder,Malpuech-Michels-Mingarelli-Carnevale syndrome|Craniofacial-ulnar-renal syndrome,Global
293830,Constitutional dyserythropoietic anemia,Category,Group of disorders,,Global
293822,MITF-related melanoma and renal cell carcinoma predisposition syndrome,Disease,Disorder,,Global
293825,Congenital dyserythropoietic anemia type IV,Disease,Disorder,CDA IV|CDA due to KLF1 mutation|CDA type 4|CDA type IV|CDAN4|Congenital dyserythropoietic anemia due to KLF1 mutation|Congenital dyserythropoietic anemia type 4,Global
293812,Fixed drug eruption,Disease,Disorder,,Global
293815,Toxic dermatosis,Category,Group of disorders,,Global
293807,Ketamine-induced biliary dilatation,Disease,Disorder,,Global
293725,"Blepharophimosis-intellectual disability syndrome, Verloes type",Malformation syndrome,Disorder,"BMRS type V|BMRS, Verloes type|Blepharophimosis-intellectual disability syndrome type V",Global
293642,Blepharophimosis-intellectual disability syndrome,Clinical group,Group of disorders,,Global
293707,"Blepharophimosis-intellectual disability syndrome, MKB type",Malformation syndrome,Disorder,"BMRS, MKB type|BMRS, Maat-Kievit-Brunner type|Blepharophimosis-intellectual disability syndrome, Maat-Kievit-Brunner type|X-linked Ohdo syndrome",Global
293633,PYCR1-related De Barsy syndrome,Etiological subtype,Subtype of disorder,PYCR1 deficiency|Pyrroline-5-carboxylate reductase 1 deficiency,Global
295075,"OBSOLETE: Ulnar hemimelia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Ulnar longitudinal meromelia, unilateral",Global
295073,"OBSOLETE: Ulnar hemimelia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Ulnar longitudinal meromelia, bilateral",Global
295079,"OBSOLETE: Tibial hemimelia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Tibial longitudinal meromelia, bilateral",Global
295077,"OBSOLETE: Tibial hemimelia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Tibial longitudinal meromelia, unilateral",Global
295083,"OBSOLETE: Fibular hemimelia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Fibular longitudinal meromelia, bilateral",Global
295081,"OBSOLETE: Fibular hemimelia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Fibular longitudinal meromelia, unilateral",Global
295087,"OBSOLETE: Congenital absence of upper arm and forearm with hand present, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Humero-radio-ulnar intercalary transverse meromelia, bilateral",Global
295085,"OBSOLETE: Congenital absence of upper arm and forearm with hand present, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Humero-radio-ulnar intercalary transverse meromelia, unilateral",Global
295059,"OBSOLETE: Amelia of lower limb, bilateral",Clinical subtype,Subtype of disorder,,Global
295057,"OBSOLETE: Amelia of lower limb, unilateral",Clinical subtype,Subtype of disorder,,Global
295063,"OBSOLETE: Humeral agenesis/hypoplasia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Humeral intercalary meromelia, bilateral",Global
295061,"OBSOLETE: Humeral agenesis/hypoplasia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Humeral intercalary meromelia, unilateral",Global
295067,"OBSOLETE: Femoral agenesis/hypoplasia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Femoral intercalary meromelia, bilateral",Global
295065,"OBSOLETE: Femoral agenesis/hypoplasia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Femoral intercalary meromelia, unilateral",Global
295071,"OBSOLETE: Radial hemimelia, bilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Radial longitidinal meromelia, bilateral",Global
295069,"OBSOLETE: Radial hemimelia, unilateral",Clinical subtype,Subtype of disorder,"OBSOLETE: Radial longitidinal meromelia, unilateral",Global
295038,"OBSOLETE: Patella aplasia/hypoplasia, unilateral",Clinical subtype,Subtype of disorder,,Global
295041,"OBSOLETE: Patella aplasia/hypoplasia, bilateral",Clinical subtype,Subtype of disorder,,Global
295044,Macrodactyly of fingers,Morphological anomaly,Disorder,Macrodactyly of hand,Global
295047,Macrodactyly of toes,Morphological anomaly,Disorder,Macrodactyly of foot,Global
295049,Upper limb hypertrophy,Morphological anomaly,Disorder,,Global
295051,Lower limb hypertrophy,Morphological anomaly,Disorder,,Global
295053,"OBSOLETE: Amelia of upper limb, unilateral",Clinical subtype,Subtype of disorder,,Global
295055,"OBSOLETE: Amelia of upper limb, bilateral",Clinical subtype,Subtype of disorder,,Global
295022,Congenital pseudoarthrosis of the fibula,Clinical subtype,Subtype of disorder,Congenital pseudarthrosis of the fibula,Global
295024,Congenital pseudoarthrosis of the radius,Clinical subtype,Subtype of disorder,Congenital pseudarthrosis of the radius,Global
295026,Congenital pseudoarthrosis of the ulna,Clinical subtype,Subtype of disorder,Congenital pseudarthrosis of the ulna,Global
295028,Isolated tibio-fibular synostosis,Morphological anomaly,Disorder,Isolated congenital tibiofibular fusion,Global
295030,True congenital shoulder dislocation,Morphological anomaly,Disorder,,Global
295032,Isolated congenital radial head dislocation,Morphological anomaly,Disorder,Isolated congenital elbow dislocation,Global
295034,Congenital knee dislocation,Morphological anomaly,Disorder,,Global
295036,Congenital patella dislocation,Morphological anomaly,Disorder,,Global
295012,Syndactyly type 6,Morphological anomaly,Disorder,"Mitten hand|Syndactyly, mitten type|Unilateral syndactyly of digits 2-5",Global
295010,OBSOLETE: Central polydactyly of toes,Morphological anomaly,Disorder,OBSOLETE: Mirror foot|OBSOLETE: Central polydactyly of foot|OBSOLETE: Mesoaxial polydactyly of toes,Global
295008,OBSOLETE: Postaxial polydactyly of toes,Morphological anomaly,Disorder,OBSOLETE: Postaxial polydactyly of foot,Global
