gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability
TSPYL1,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,,1.0,low,2.0,0.42500000000000004
TTC21B,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,REN,0.3221757322175732,high,73.0,0.21387029288702927
TTC37,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,BOW,,,,0.44999999999999996
TTC7A,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,BOW,0.9,high,30.0,0.81
TTN,2,4.0,1.0,3.0,0.75,0.575,1,1,1,0.0,"CM, HYPOTO",0.4598214285714285,high,4674.0,0.6339285714285714
TTPA,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,,0.2777777777777778,high,16.0,0.5611111111111111
TTR,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,CM,0.745945945945946,high,100.0,0.8983783783783783
TUBA8,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,SEIZ,0.0689655172413793,low,2.0,0.05258620689655172
TWIST1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,SK,0.8235294117647058,high,26.0,0.9294117647058824
TYMP,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BOW,0.6996197718631179,high,148.0,0.8798479087452471
TYR,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.6268656716417911,high,90.0,0.8507462686567164
UBA1,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,2.0,HYPOTO,0.125,low,2.0,0.135
UBR1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,THYR,0.4117647058823529,high,12.0,0.6147058823529411
UCP2,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,"GLY, SEIZ",0.125,low,2.0,0.075
UGT1A1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BIL,0.6310679611650486,high,47.0,0.8524271844660194
UGT1A4,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,BIL,,,,0.024999999999999998
UGT1A5,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,BIL,0.0,low,0.0,0.024999999999999998
UMOD,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,,0.4262295081967213,high,48.0,0.7704918032786885
UNC13D,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,SEIZ,0.3181818181818182,high,68.0,0.5772727272727273
UQCRB,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,"IEM, HYPOTO",0.625,high,8.0,0.275
UQCRQ,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"IEM, HYPOTO",0.2352941176470588,high,16.0,0.17911764705882352
UROD,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,DERM,0.7083333333333334,high,26.0,0.7333333333333334
UROS,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"AN_TH, DERM",0.575,high,40.0,0.6799999999999999
USH1C,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,HL,0.2552552552552553,high,82.0,0.5521021021021021
USH1G,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,HL,0.2631578947368421,high,36.0,0.5552631578947368
USH2A,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,HL,0.4734665747760165,high,524.0,0.7893866299104066
VAMP1,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,HYPOTO,1.0,medium,4.0,0.42500000000000004
VCAN,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,CHD,0.2707182320441988,high,96.0,0.5582872928176795
