gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
NDUFA11,3.3647e-06,1.1702,1.761,-0.6358,0,0
FLVCR2,3.3589e-06,0.64864,0.9,0.61075,0,0
MLNR,3.333e-06,0.97871,1.484,-1.6256,0,0
NACAD,3.3301e-06,0.51274,0.654,2.2666,0,0
NOP58,3.3295e-06,0.70213,0.995,0.9266,0,0
MND1,3.3131e-06,0.97931,1.485,0.27191,0,0
SULT1B1,3.3119e-06,0.72532,1.036,-0.063918,0,0
CHML,3.3089e-06,0.62287,0.854,0.17982,0,0
TPD52L2,3.2858e-06,0.78312,1.138,0.47481,0,0
POP5,3.2485e-06,0.82017,1.203,0.39417,0,0
ELP6,3.2451e-06,0.82024,1.204,0.70302,0,0
HAPLN4,3.2424e-06,0.75291,1.084,-0.99488,0,0
CD320,3.2364e-06,0.98163,1.488,-1.0094,0,0
TMEM8B,3.2319e-06,0.61233,0.835,1.3088,0,0
FAM168B,3.2218e-06,0.91679,1.375,0.21698,0,0
DDO,3.2145e-06,0.86431,1.282,0.18926,0,0
SCGN,3.2123e-06,0.91704,1.375,0.28811,0,0
DNAJC25,3.21e-06,0.68349,0.961,0.24607,0,0
BCKDK,3.1983e-06,0.62381,0.855,1.7423,0,0
PHLDA3,3.1822e-06,1.5766,1.94,0.11301,0,0
DLAT,3.1812e-06,0.57035,0.759,1.3325,0,0
OR52K1,3.1646e-06,1.1795,1.77,-0.32138,0,0
TNFRSF25,3.1532e-06,0.61297,0.836,0.2636,0,0
PCSK1,3.1448e-06,0.54256,0.709,2.0983,0,0
HOXD1,3.1256e-06,0.91936,1.378,-1.6844,0,0
EFCAB9,3.1223e-06,0.9852,1.493,0.84698,0,0
KRTCAP3,3.1181e-06,0.91956,1.379,-0.77264,0,0
SYNPR,3.1179e-06,0.70488,0.999,0.77468,0,0
CYP2A6,3.1144e-06,0.63707,0.879,-0.045596,0,0
SLC2A12,3.1107e-06,0.61332,0.836,1.6804,0,0
CDR2,3.1083e-06,0.63713,0.879,1.2108,0,0
ACTA1,3.1036e-06,0.66695,0.931,6.0949,0,0
GDF2,3.102e-06,0.82315,1.208,0.76019,0,0
MAP6D1,3.0999e-06,1.1826,1.773,-3.1123,0,0
LYST,3.0923e-06,0.43798,0.505,4.1055,0,0
LIPK,3.0889e-06,0.72854,1.04,-0.78878,0,0
SIGMAR1,3.0863e-06,0.86729,1.286,0.38569,0,0
ZBTB40,3.0721e-06,0.48596,0.603,2.7088,0,0
OR13A1,3.0675e-06,1.3435,1.883,-1.1725,0,0
SPATA24,3.0497e-06,0.72913,1.041,0.90649,0,0
ARHGAP40,3.0414e-06,0.5479,0.718,1.7571,0,0
LRIT3,3.0401e-06,0.78757,1.144,0.53818,0,0
C3ORF33,3.0375e-06,0.92178,1.382,-0.52659,0,0
GPR87,3.0267e-06,1.0731,1.634,0.28314,0,0
DDX43,3.0158e-06,0.58619,0.787,1.5527,0,0
TIMM10,3.0101e-06,1.3474,1.885,1.2554,0,0
ZNF189,2.9924e-06,0.58636,0.788,1.2133,0,0
STRN,2.9917e-06,0.53059,0.686,-0.86388,0,0
HS3ST6,2.9773e-06,1.3497,1.886,-2.0913,0,0
