Disease,OMIMID,PhenotypeClass
[histidinemia],OMIM:235800,3
[anhaptoglobinemia],OMIM:614081,3
[hypohaptoglobinemia],OMIM:614081,3
"[igg receptor i, phagocytic, familial deficiency of]",-666,3
"[impdh2 enzyme activity, variation in]",-666,3
[inosine triphosphatase deficiency],OMIM:613850,3
"[interleukin 6, serum level of, qtl]",OMIM:614752,3
"[interleukin-6 receptor, soluble, serum level of, qtl]",OMIM:614689,3
"[kallikrein, decreased urinary activity of]",OMIM:615953,3
[kappa light chain deficiency],OMIM:614102,3
[high molecular weight kininogen deficiency],OMIM:228960,3
[kininogen deficiency],OMIM:228960,3
[lean body mass qtl 1],-666,2
[leptin serum levels qtl1],-666,2
[longevity 1],OMIM:152430,2
[longevity 2],OMIM:606460,2
[low density lipoprotein cholesterol level qtl6],OMIM:613589,3
[mean platelet volume qtl1],-666,2
[mean platelet volume qtl2],-666,2
[mean platelet volume qtl3],-666,2
"[memory, enhanced, qtl]",OMIM:615602,3
[musical aptitude qtl 1],-666,2
[pentosuria],OMIM:260800,3
[phenylthiocarbamide tasting],OMIM:171200,3
[phosphohydroxylysinuria],OMIM:615011,3
[placental lactogen deficiency],-666,1
[birth weight qtl 3],-666,2
[fasting plasma glucose level qtl 6],-666,2
"[plasma glucose, 2-hour, qtl 1]",-666,2
"[plasma glucose, 2-hour, qtl 2]",-666,2
[polyunsaturated fatty acids plasma level qtl1],-666,2
[protein z deficiency],OMIM:614024,3
"[qt interval, variation in]",OMIM:610141,2
[respiratory rhythmicity in sleep],OMIM:609116,2
[rh-negative blood type],-666,3
[sarcosinemia],OMIM:268900,3
[sex hormone-binding blobulin circulating level qtl 1],-666,2
[short sleeper],OMIM:612975,3
"[skin/hair/eye pigmentation 10, blond/brown hair]",OMIM:612267,3
"[skin/hair/eye pigmentation 9, brown/nonbrown eyes]",OMIM:611742,3
"[skin/hair/eye pigmentation 9, dark/light hair]",OMIM:611742,3
"[skin/hair/eye pigmentation, variation in, 8]",OMIM:611724,3
[social cognition],-666,2
[alpha-actinin-3 deficiency],-666,3
[sprinting performance],-666,3
[low density lipoprotein cholesterol level qtl 3],-666,3
"[statins, attenuated cholesterol lowering by]",-666,3
"[superoxide dismutase, elevated extracellular]",-666,3
"[telomere length, mean leukocyte]",OMIM:609113,2
[thyroid-stimulating hormone level qtl 1],-666,2
[tuberculin skin test reactivity qtl],-666,2
"[tuberculin skin test reactivity, absence of]",OMIM:613636,2
[urate oxidase deficiency],-666,1
[junior blood group system],OMIM:614490,3
"[uric acid concentration, serum, qtl1]",OMIM:138900,3
"[uric acid concentration, serum, qtl5]",-666,2
"[uric acid concentration, serum, qtl6]",-666,2
abdominal obesity-metabolic syndrome,-666,2
abdominal obesity-metabolic syndrome 1,OMIM:605552,2
abdominal obesity-metabolic syndrome 3,OMIM:615812,3
acad9 deficiency,OMIM:611126,3
acatalasemia,OMIM:614097,3
acetyl-coa carboxylase deficiency,OMIM:613933,1
achalasia-addisonianism-alacrimia syndrome,OMIM:231550,3
"achondrogenesis, type ia",OMIM:200600,3
achromatopsia-2,OMIM:216900,3
achromatopsia-4,OMIM:613856,3
"acid-labile subunit, deficiency of",OMIM:615961,3
"acne inversa, familial, 1",OMIM:142690,3
"acne inversa, familial, 2",OMIM:613736,3
acrodermatitis enteropathica,OMIM:201100,3
"acrofacial dysostosis 1, nager type",OMIM:154400,3
"acromegaloid features, overgrowth, cleft palate, and hernia",OMIM:606049,2
acromelic frontonasal dysostosis,OMIM:603671,3
acropectoral syndrome,OMIM:605967,2
acropectorovertebral dysplasia,OMIM:102510,2
acth-independent macronodular adrenal hyperplasia 2,OMIM:615954,3
acute insulin response,OMIM:601676,2
"acyl-coa dehydrogenase, medium chain, deficiency of",OMIM:201450,3
"acyl-coa dehydrogenase, short-chain, deficiency of",OMIM:201470,3
adams-oliver syndrome 1,OMIM:100300,3
adams-oliver syndrome 2,OMIM:614219,3
adams-oliver syndrome 3,OMIM:614814,3
adams-oliver syndrome 4,OMIM:615297,3
adenine phosphoribosyltransferase deficiency,OMIM:614723,3
"adenomas, salivary gland pleomorphic",OMIM:181030,3
adenylosuccinase deficiency,OMIM:103050,3
adermatoglyphia,OMIM:136000,3
adiponectin deficiency,OMIM:612556,3
"46xy sex reversal 2, dosage-sensitive",OMIM:300018,3
"adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism",OMIM:300200,3
"adrenal insufficiency, congenital, with 46xy sex reversal, partial or complete",OMIM:613743,3
adrenocorticotropic hormone deficiency,OMIM:201400,3
adrenoleukodystrophy,OMIM:300100,3
"adrenomyeloneuropathy, adult",OMIM:300100,3
"advanced sleep phase syndrome, familial, 1",OMIM:604348,3
"advanced sleep-phase syndrome, familial, 2",OMIM:615224,3
agammaglobulinemia 1,OMIM:601495,3
agammaglobulinemia 2,OMIM:613500,3
agammaglobulinemia 3,OMIM:613501,3
agammaglobulinemia 4,OMIM:613502,3
agammaglobulinemia 5,OMIM:613506,3
agammaglobulinemia 6,OMIM:612692,3
agammaglobulinemia and isolated hormone deficiency,OMIM:307200,3
"agammaglobulinemia, x-linked 1",OMIM:300755,3
"agammaglobulinemia, x-linked 2",-666,2
agenesis of the corpus callosum with peripheral neuropathy,OMIM:218000,3
agnathia-otocephaly complex,OMIM:202650,3
aica-ribosiduria due to atic deficiency,OMIM:608688,3
aicardi syndrome,OMIM:304050,2
aicardi-goutieres syndrome 2,OMIM:610181,3
aicardi-goutieres syndrome 3,OMIM:610329,3
aicardi-goutieres syndrome 4,OMIM:610333,3
aicardi-goutieres syndrome 7,OMIM:615846,3
"alacrima, achalasia, and mental retardation syndrome",OMIM:615510,3
alazami syndrome,OMIM:615071,3
"[skin/hair/eye pigmentation, variation in, 11 (melanesian blond hair)]",OMIM:612271,3
"albinism, oculocutaneous, type iii",OMIM:203290,3
"[skin/hair/eye pigmentation 5, black/nonblack hair]",OMIM:227240,3
"[skin/hair/eye pigmentation 5, dark/light eyes]",OMIM:227240,3
"albinism, oculocutaneous, type iv",OMIM:606574,3
"[skin/hair/eye pigmentation 5, dark/fair skin]",OMIM:227240,3
"albinism, oculocutaneous, type v",OMIM:615312,2
"[skin/hair/eye pigmentation 4, fair/dark skin]",OMIM:113750,3
"albinism, oculocutaneous, type vi",OMIM:113750,3
"albinism, oculocutaneous, type vii",OMIM:615179,3
albinism-deafness syndrome,OMIM:300700,2
"adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",OMIM:202010,3
"aldosteronism, glucocorticoid-remediable",OMIM:103900,3
alexander disease,OMIM:203450,3
alkaptonuria,OMIM:203500,3
allan-herndon-dudley syndrome,OMIM:300523,3
alopecia areata 1,OMIM:104000,2
alopecia areata 2,OMIM:610753,2
"alopecia, androgenetic, 1",OMIM:109200,2
"alopecia, androgenetic, 2",OMIM:300710,2
"alopecia, androgenetic, 3",OMIM:612421,2
"alopecia, neurologic defects, and endocrinopathy syndrome",OMIM:612079,3
alopecia-mental retardation syndrome 1,OMIM:203650,2
alopecia-mental retardation syndrome 2,OMIM:610422,2
alopecia-mental retardation syndrome 3,OMIM:613930,2
alpha-methylacetoacetic aciduria,OMIM:203750,3
"alpha-thalassemia/mental retardation syndrome, type 1",-666,4
alport syndrome,OMIM:301050,3
"alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis",-666,4
alstrom syndrome,OMIM:203800,3
alveolar capillary dysplasia with misalignment of pulmonary veins,OMIM:265380,3
alveolar soft-part sarcoma,OMIM:606243,3
alzheimer disease 17,OMIM:615080,2
alzheimer disease 6,OMIM:104300,2
alzheimer disease 8,OMIM:104300,2
alzheimer disease-10,OMIM:104300,2
alzheimer disease-11,OMIM:609790,2
alzheimer disease-5,OMIM:104300,2
alzheimer disease-7,OMIM:606187,2
"amelogenesis imperfecta type, iia4",OMIM:614832,3
"amelogenesis imperfecta, type 1e",OMIM:301200,3
"amelogenesis imperfecta, type ib",OMIM:104500,3
"amelogenesis imperfecta, type ic",OMIM:204650,3
"amelogenesis imperfecta, type ig (enamel-renal syndrome)",OMIM:204690,3
"amelogenesis imperfecta, type iia1",OMIM:204700,3
"amelogenesis imperfecta, type iia2",OMIM:612529,3
"amelogenesis imperfecta, type iia3",OMIM:613211,3
"[skin/hair/eye pigmentation 6, blond/brown hair]",OMIM:210750,3
"[skin/hair/eye pigmentation 6, blue/green eyes]",OMIM:210750,3
"amelogenesis imperfecta, type iia5",OMIM:615887,3
"amelogenesis imperfecta, type iii",OMIM:130900,3
aminoacylase 1 deficiency,OMIM:609924,3
amish infantile epilepsy syndrome,OMIM:609056,3
"amyloidosis, finnish type",OMIM:105120,3
"amyloidosis, primary localized cutaneous, 1",OMIM:105250,3
"amyloidosis, primary localized cutaneous, 2",OMIM:613955,3
"amyloidosis, renal",OMIM:105200,3
amyotrophic lateral sclerosis 1,OMIM:105400,3
"amyotrophic lateral sclerosis 15, with or without frontotemporal dementia",OMIM:300857,3
"amyotrophic lateral sclerosis 16, juvenile",OMIM:614373,3
amyotrophic lateral sclerosis 18,OMIM:614808,3
amyotrophic lateral sclerosis 19,OMIM:615515,3
?inclusion body myopathy wtih early-onset paget disease without frontotemporal dementia 3,OMIM:615424,3
amyotrophic lateral sclerosis 20,OMIM:615426,3
amyotrophic lateral sclerosis 21,OMIM:606070,3
amyotrophic lateral sclerosis 3,OMIM:606640,2
"amyotrophic lateral sclerosis 5, juvenile recessive",-666,2
amyotrophic lateral sclerosis 7,OMIM:608031,2
amyotrophic lateral sclerosis 9,OMIM:611895,3
amyotrophic lateral sclerosis and/or frontotemporal dementia,OMIM:105550,3
[dysalbuminemic hyperthyroxinemia],OMIM:615999,3
analbuminemia,OMIM:616000,3
"anemia, hemolytic, due to umph1 deficiency",OMIM:266120,3
"anemia, hypochromic microcytic",OMIM:206100,3
"anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",OMIM:205950,3
"anemia, sideroblastic, with ataxia",OMIM:301310,3
"aneurysm, intracranial berry, 1",OMIM:105800,2
"aneurysm, intracranial berry, 11",OMIM:614252,2
"aneurysm, intracranial berry, 2",OMIM:608542,2
"aneurysm, intracranial berry, 3",OMIM:609122,2
"aneurysm, intracranial berry, 4",OMIM:610213,2
"aneurysm, intracranial berry, 5",OMIM:300870,2
"aneurysm, intracranial berry, 7",OMIM:612161,2
"aneurysm, intracranial berry, 8",OMIM:612162,2
aneurysmal bone cysts,OMIM:606179,2
angio serpiginosum,-666,2
anisomastia,OMIM:605746,2
anonychia congenita,OMIM:206800,3
"anosmia, isolated congenital",OMIM:107200,2
"aortic aneurysm, familial abdominal 1",OMIM:100070,2
"aortic aneurysm, familial abdominal 2",OMIM:609782,2
"aortic aneurysm, familial abdominal, 4",OMIM:614375,2
"aortic aneurysm, familial thoracic 1",OMIM:607086,2
"aortic aneurysm, familial thoracic 2",OMIM:607087,2
"aortic aneurysm, familial thoracic 4",OMIM:132900,3
"aortic aneurysm, familial thoracic 7",OMIM:613780,3
"aortic aneurysm, familial thoracic 8",OMIM:615436,3
"aortic aneurysm, familial thoracic 9",OMIM:616166,3
adams-oliver syndrome 5,OMIM:616028,3
aortic valve disease 1,OMIM:109730,3
aortic valve disease 2,OMIM:614823,3
"aplasia cutis congenita, reticulolinear, with mmicrocephaly, facial dysmorphism and other congenital anomalies",OMIM:300887,3
aromatase deficiency,OMIM:613546,3
aromatase excess syndrome,OMIM:139300,3
aromatic l-amino acid decarboxylase deficiency,OMIM:608643,3
?rienhoff syndrome,OMIM:615582,3
arrhythmogenic right ventricular dysplasia 1,OMIM:107970,3
arrhythmogenic right ventricular dysplasia 11,OMIM:610476,3
arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair,OMIM:610476,3
arrhythmogenic right ventricular dysplasia 3,-666,2
arrhythmogenic right ventricular dysplasia 4,-666,2
arrhythmogenic right ventricular dysplasia 6,-666,2
arrhythmogenic right ventricular dysplasia 9,OMIM:609040,3
"arrhythmogenic right ventricular dysplasia, familial, 13",OMIM:615616,3
arterial tortuosity syndrome,OMIM:208050,3
"arthrogryposis multiplex congenita, distal, type 2b",OMIM:601680,3
"arthrogryposis multiplex congenita, neurogenic",-666,2
?marden-walker syndrome,OMIM:248700,3
"arthrogryposis, distal, type 3",OMIM:114300,3
"arthrogryposis, distal, type 5",OMIM:108145,3
