Disease,OMIMID,PhenotypeClass
"polycystic kidney disease, adult type i",OMIM:173900,3
"polycystic kidney disease, infantile severe, with tuberous sclerosis",OMIM:600273,4
polycystic liver disease,OMIM:174050,3
polycystic ovary syndrome 1,OMIM:184700,2
"mitochondrial complex iii deficiency, nuclear type 3",OMIM:615158,3
"polydactyly, postaxial, type a3",OMIM:607324,2
"polydactyly, postaxial, type a4",OMIM:608562,2
"polydactyly, postaxial, type a5",OMIM:263450,2
glycogen storage disease iv,OMIM:232500,3
"polyglucosan body disease, adult form",OMIM:263570,3
"polyglucosan body myopathy, early-onset, with or without immunodeficiency",OMIM:615895,3
"polyhydramnios, megalencephaly, and symptomatic epilepsy",OMIM:611087,3
polymicrogyria with optic nerve hypoplasia,OMIM:613180,3
polymicrogyria with seizures,OMIM:614833,3
"polymicrogyria, bilateral occipital",-666,2
"polymicrogyria, bilateral frontoparietal",OMIM:606854,3
"polymicrogyria, bilateral perisylvian",OMIM:615752,3
"polymicrogyria, symmetric or asymmetric",OMIM:610031,3
"polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract",OMIM:612674,3
"juvenile polyposis syndrome, infantile form",OMIM:174900,3
"polyposis syndrome, hereditary mixed, 2",OMIM:610069,3
"polyposis, juvenile intestinal",OMIM:174900,3
juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,OMIM:175050,3
myhre syndrome,OMIM:139210,3
"pancreatic cancer, somatic",-666,3
pontocerebellar hypoplasia type 1a,OMIM:607596,3
pontocerebellar hypoplasia type 2b,OMIM:612389,3
pontocerebellar hypoplasia type 2c,OMIM:612390,3
pontocerebellar hypoplasia type 2d,OMIM:613811,3
pontocerebellar hypoplasia type 2a,OMIM:277470,3
pontocerebellar hypoplasia type 4,OMIM:225753,3
"pontocerebellar hypoplasia, type 10",OMIM:615803,3
"pontocerebellar hypoplasia, type 1b",OMIM:614678,3
"pontocerebellar hypoplasia, type 1c",OMIM:616081,3
"pontocerebellar hypoplasia, type 2e",OMIM:615851,3
"pontocerebellar hypoplasia, type 6",OMIM:611523,3
"pontocerebellar hypoplasia, type 8",OMIM:614961,3
?spastic paraplegia 63,OMIM:615686,3
"pontocerebellar hypoplasia, type 9",OMIM:615809,3
"popliteal pterygium syndrome 2, lethal type",OMIM:263650,3
poretti-boltshauser syndrome,OMIM:615960,3
"porokeratosis 2, palmar, plantar, and disseminated",-666,2
hyper-igd syndrome,OMIM:260920,3
mevalonic aciduria,OMIM:610377,3
"porokeratosis 3, disseminated superficial actinic",OMIM:175900,3
"porokeratosis 4, disseminated superficial actinic",-666,2
"porokeratosis 5, disseminated superficial actinic",-666,2
porokeratosis 6,-666,2
porokeratosis 7,-666,2
"porokeratosis 8, disseminated superficial actinic type",OMIM:616063,3
porphyria variegata,OMIM:176200,3
"porphyria, acute intermittent",OMIM:176000,3
"porphyria, acute intermittent, nonerythroid variant",OMIM:176000,3
"porphyria, congenital erythropoietic",OMIM:263700,3
porphyria cutanea tarda,OMIM:176100,3
"porphyria, hepatoerythropoietic",OMIM:176100,3
"postaxial polydactyly, type a2",-666,2
potocki-lupski syndrome,OMIM:610883,4
potocki-shaffer syndrome,OMIM:601224,4
prader-willi syndrome,OMIM:176270,3
prader-willi-like syndrome,OMIM:615547,3
"preauricular tag, isolated, autosomal dominant, 1",OMIM:610420,2
"precocious puberty, central, 2",OMIM:615346,3
"leydig cell adenoma, somatic, with precocious puberty",OMIM:176410,3
"luteinizing hormone resistance, female",OMIM:238320,3
"precocious puberty, male",OMIM:176410,3
leydig cell hypoplasia with hypergonadotropic hypogonadism,OMIM:238320,3
leydig cell hypoplasia with pseudohermaphroditism,OMIM:238320,3
preeclampsia/eclampsia 1,OMIM:189800,2
preeclampsia/eclampsia 2,OMIM:609402,2
preeclampsia/eclampsia 3,OMIM:609403,2
preeclampsia/eclampsia 4,OMIM:609404,3
preeclampsia/eclampsia 5,OMIM:614595,3
premature ovarian failure,OMIM:300511,3
fragile x syndrome,OMIM:300624,3
fragile x tremor/ataxia syndrome,OMIM:300623,3
premature ovarian failure 1,OMIM:311360,3
premature ovarian failure 2b,OMIM:300604,3
"blepharophimosis, epicanthus inversus, and ptosis, type 1",OMIM:110100,3
"blepharophimosis, epicanthus inversus, and ptosis, type 2",OMIM:110100,3
premature ovarian failure 3,OMIM:608996,3
ovarian dysgenesis 2,OMIM:300510,3
premature ovarian failure 4,OMIM:300510,3
premature ovarian failure 5,OMIM:611548,3
premature ovarian failure 6,OMIM:612310,3
premature ovarian failure 9,OMIM:615724,3
prieto syndrome,-666,2
"primary lateral sclerosis, adult, 1",OMIM:611637,2
primrose syndrome,OMIM:259050,3
mitochondrial dna depletion syndrome 12 (cardiomyopathic type),OMIM:615418,3
progressive external ophthalmoplegia with mitochondrial dna deletions 3,OMIM:609283,3
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 4",OMIM:610131,3
mitochondrial dna depletion syndrome 8a (encephalomyopathic type with renal tubulopathy),OMIM:612075,3
mitochondrial dna depletion syndrome 8b (mngie type),OMIM:612075,3
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 5",OMIM:613077,3
?seckel syndrome 8,OMIM:615807,3
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 6",OMIM:615156,3
mitochondrial dna depletion syndrome 7 (hepatocerebral type),OMIM:271245,3
perrault syndrome 5,OMIM:616138,3
"progressive external ophthalmoplegia, autosomal dominant, 3",OMIM:609286,3
mitochondrial dna depletion syndrome 4a (alpers type),OMIM:203700,3
"progressive external ophthalmoplegia, autosomal dominant",OMIM:157640,3
"progressive external ophthalmoplegia, autosomal recessive",OMIM:258450,3
mitochondrial dna depletion syndrome 4b (mngie type),OMIM:613662,3
mitochondrial recessive ataxia syndrome (includes sando and scae),OMIM:607459,3
"progressive familial heart block, type ib",OMIM:604559,3
"clopidogrel, impaired responsiveness to",OMIM:609535,3
opremazole poor metabolizer,OMIM:609535,3
proguanil poor metabolizer,OMIM:609535,3
mephenytoin poor metabolizer,OMIM:609535,3
prolidase deficiency,OMIM:170100,3
proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome,OMIM:225790,3
"properdin deficiency, x-linked",OMIM:312060,3
propionicacidemia,OMIM:606054,3
prostate cancer 1,OMIM:601518,3
barrett esophagus/esophageal adenocarcinoma,OMIM:614266,3
"prostate cancer, hereditary",OMIM:176807,3
"anemia, sideroblastic, x-linked",OMIM:300751,3
"protoporphyria, erythropoietic, x-linked",OMIM:300752,3
"epileptic encephalopathy, early infantile, 1",OMIM:308350,3
partington syndrome,OMIM:309510,3
proud syndrome,OMIM:300004,3
hydranencephaly with abnormal genitalia,OMIM:300215,3
"lissencephaly, x-linked 2",OMIM:300215,3
"mental retardation, x-linked 29 and others",OMIM:300419,3
"epiphyseal dysplasia, multiple 1",OMIM:132400,3
pseudoachondroplasia,OMIM:177170,3
"pseudohermaphroditism, male, with gynecomastia",OMIM:264300,3
"pseudohyperkalemia, familial, 2, due to red cell leak",OMIM:609153,2
"hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy",OMIM:605115,3
"pseudohypoaldosteronism type i, autosomal dominant",OMIM:177735,3
bronchiectasis with or without elevated sweat chloride 1,OMIM:211400,3
liddle syndrome,OMIM:177200,3
"pseudohypoaldosteronism, type i",OMIM:264350,3
bronchiectasis with or without elevated sweat chloride 3,OMIM:613071,3
bronchiectasis with or without elevated sweat chloride 2,OMIM:613021,3
"pseudohypoaldosteronism, type iia",OMIM:145260,2
"pseudohypoaldosteronism, type iib",OMIM:614491,3
"neuropathy, hereditary sensory and autonomic, type ii",OMIM:201300,3
"pseudohypoaldosteronism, type iic",OMIM:614492,3
"pseudohypoaldosteronism, type iid",OMIM:614495,3
"pseudohypoaldosteronism, type iie",OMIM:614496,3
"pseudohypoparathyroidism, type ib",OMIM:603233,3
"acromegaly, somatic",OMIM:102200,3
pseudohypoparathyroidism ic,OMIM:612462,3
pseudopseudohypoparathyroidism,OMIM:612463,3
acth-independent macronodular adrenal hyperplasia,OMIM:219080,3
"mccune-albright syndrome, somatic",OMIM:174800,3
"osseous heteroplasia, progressive",OMIM:166350,3
pseudohypoparathyroidism ia,OMIM:103580,3
pseudohypoparathyroidism ib,OMIM:603233,3
pseudovaginal perineoscrotal hypospadias,OMIM:264600,3
"arterial calcification, generalized, of infancy, 2",OMIM:614473,3
pseudoxanthoma elasticum,OMIM:264800,3
"pseudoxanthoma elasticum, forme fruste",OMIM:177850,3
"psoriasis 14, pustular",OMIM:614204,3
pityriasis rubra pilaris,OMIM:173200,3
psoriasis 2,OMIM:602723,3
"psychomotor retardation, epilepsy, and craniofacial dysmorphism",OMIM:614501,3
"neuronopathy, distal hereditary motor, type iid",OMIM:615575,3
"ptosis, hereditary congenital 2",OMIM:300245,2
"ptosis, hereditary congenital, 1",OMIM:178300,2
?testicular microlithiasis,OMIM:610441,3
pulmonary alveolar microlithiasis,OMIM:265100,3
"pulmonary disease, chronic obstructive, severe early-onset",-666,2
"pulmonary fibrosis, idiopathic",OMIM:178500,3
"pulmonary hypertension, primary, 2",OMIM:615342,3
"?lipodystrophy, congenital generalized, type 3",OMIM:612526,3
"?partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome",OMIM:606721,3
"pulmonary hypertension, primary, 3",OMIM:615343,3
"pulmonary hypertension, primary, 4",OMIM:615344,3
"pulmonary hypertension, familial primary, 1, with or without hht",OMIM:178600,3
"pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated",OMIM:178600,3
pulmonary venoocclusive disease 1,OMIM:265450,3
pulmonary venoocclusive disease 2,OMIM:234810,3
pycnodysostosis,OMIM:265800,3
"pyloric stenosis, infantile hypertrophic, 2",OMIM:610260,2
"pyloric stenosis, infantile hypertrophic, 3",OMIM:612017,2
"pyloric stenosis, infantile hypertrophic, 4",OMIM:300711,2
"pyloric stenosis, infantile hypertrophic, 5",OMIM:612525,2
"macroglobulinemia, waldenstrom, somatic",OMIM:153600,3
"pyogenic bacterial infections, recurrent, due to myd88 deficiency",OMIM:612260,3
"pyogenic sterile arthritis, pyoderma gangrenosum, and acne",OMIM:604416,3
pyridoxamine 5'-phosphate oxidase deficiency,OMIM:610090,3
pyruvate carboxylase deficiency,OMIM:266150,3
pyruvate dehydrogenase e1-alpha deficiency,OMIM:312170,3
pyruvate dehydrogenase e1-beta deficiency,OMIM:614111,3
pyruvate dehydrogenase e2 deficiency,OMIM:245348,3
pyruvate dehydrogenase lipoic acid synthetase deficiency,OMIM:614462,3
pyruvate dehydrogenase phosphatase deficiency,OMIM:608782,3
"adenosine triphosphate, elevated, of erythrocytes",OMIM:102900,3
pyruvate kinase deficiency,OMIM:266200,3
radioulnar synostosis with amegakaryocytic thrombocytopenia,OMIM:605432,3
raine syndrome,OMIM:259775,3
rajab syndrome,OMIM:613658,2
recombination rate qtl 1,OMIM:612042,3
refsum disease,OMIM:266500,3
"hepatocellular carcinoma, childhood type",OMIM:114550,3
"renal cell carcinoma, papillary, 1, familial and somatic",OMIM:605074,3
"renal cell carcinoma, papillary",OMIM:605074,3
renal glucosuria,OMIM:233100,3
"renal hypodysplasia, nonsyndromic, 1",-666,2
renal hypodysplasia/aplasia 1,OMIM:191830,3
"glomerulosclerosis, focal segmental, 7",OMIM:616002,3
papillorenal syndrome,OMIM:120330,3
"renal hypoplasia, isolated",OMIM:191830,3
renal tubular acidosis with deafness,OMIM:267300,3
"renal tubular acidosis, distal, autosomal recessive",OMIM:602722,3
"renal tubular acidosis, proximal, with ocular abnormalities",OMIM:604278,3
[hereditary persistence of alpha-fetoprotein],OMIM:615970,3
alpha-fetoprotein deficiency,OMIM:615969,3
meckel syndrome 7,OMIM:267010,3
nephronophthisis 3,OMIM:604387,3
renal-hepatic-pancreatic dysplasia 1,OMIM:208540,3
renpenning syndrome,OMIM:309500,3
"restless legs syndrome, susceptibility to, 8",OMIM:615197,2
"cardiomyopathy, dilated, 1a",OMIM:115200,3
"muscular dystrophy, congenital",OMIM:613205,3
"muscular dystrophy, limb-girdle, type 1b",OMIM:159001,3
"charcot-marie-tooth disease, type 2b1",OMIM:605588,3
"emery-dreifuss muscular dystrophy 2, ad",OMIM:181350,3
"emery-dreifuss muscular dystrophy 3, ar",OMIM:181350,3
"heart-hand syndrome, slovenian type",OMIM:610140,3
hutchinson-gilford progeria,OMIM:176670,3
"lipodystrophy, familial partial, 2",OMIM:151660,3
malouf syndrome,OMIM:212112,3
mandibuloacral dysplasia,OMIM:248370,3
"restrictive dermopathy, lethal",OMIM:275210,3
mandibuloacral dysplasia with type b lipodystrophy,OMIM:608612,3
reticular dysgenesis,OMIM:267500,3
retinal arterial macroaneurysm with supravalvular pulmonic stenosis,OMIM:614224,3
achromatopsia 6,OMIM:610024,3
retinal cone dystrophy 3,OMIM:610024,3
retinal cone dystrophy 3b,OMIM:610356,3
retinal cone dystrophy 4,OMIM:610478,3
"retinal degeneration, late-onset, autosomal dominant",OMIM:605670,3
cone-rod dystrophy 13,OMIM:608194,3
leber congenital amaurosis 6,OMIM:613826,3
"microphthalmia, syndromic 5",OMIM:610125,3
"pituitary hormone deficiency, combined, 6",OMIM:613986,3
"retinal dystrophy, early-onset, and pituitary dysfunction",OMIM:610125,3
"retinal nonattachment, nonsyndromic congenital",-666,2
retinitis pigmentosa 1,OMIM:180100,3
leber congenital amaurosis 11,OMIM:613837,3
retinitis pigmentosa 10,OMIM:180105,3
retinitis pigmentosa 11,OMIM:600138,3
retinitis pigmentosa 13,OMIM:600059,3
leber congenital amaurosis 15,OMIM:613843,3
retinitis pigmentosa 14,OMIM:600132,3
retinitis pigmentosa 17,OMIM:600852,3
retinitis pigmentosa 18,OMIM:601414,3
leber congenital amaurosis 5,OMIM:604537,3
retinitis pigmentosa 2,OMIM:312600,3
leber congenital amaurosis 2,OMIM:204100,3
retinitis pigmentosa 20,OMIM:613794,3
retinitis pigmentosa 22,OMIM:602594,2
retinitis pigmentosa 24,OMIM:300155,2
retinitis pigmentosa 25,OMIM:602772,3
retinitis pigmentosa 26,OMIM:608380,3
"retinal degeneration, autosomal recessive, clumped pigment type",-666,3
retinitis pigmentosa 27,OMIM:613750,3
retinitis pigmentosa 28,OMIM:606068,3
retinitis pigmentosa 29,OMIM:612165,2
retinitis pigmentosa 30,OMIM:607921,3
retinitis pigmentosa 31,OMIM:609923,3
retinitis pigmentosa 32,OMIM:609913,2
retinitis pigmentosa 33,OMIM:610359,3
retinitis pigmentosa 34,OMIM:300605,2
cone-rod dystrophy 10,OMIM:610283,3
retinitis pigmentosa 35,OMIM:610282,3
retinitis pigmentosa 36,OMIM:610599,3
enhanced s-cone syndrome,OMIM:268100,3
retinitis pigmentosa 37,OMIM:611131,3
retinitis pigmentosa 38,OMIM:613862,3
retinitis pigmentosa 42,OMIM:612943,3
retinitis pigmentosa 43,OMIM:613810,3
retinitis pigmentosa 44,OMIM:613769,3
retinitis pigmentosa 45,OMIM:613767,3
retinitis pigmentosa 46,OMIM:612572,3
oguchi disease-1,OMIM:258100,3
retinitis pigmentosa 47,OMIM:613758,3
retinitis pigmentosa 48,OMIM:613827,3
retinitis pigmentosa 49,OMIM:613756,3
retinitis pigmentosa 54,OMIM:613428,3
"macular dystrophy, vitelliform, 5",OMIM:616152,3
retinitis pigmentosa 56,OMIM:613581,3
retinitis pigmentosa 57,OMIM:613582,3
retinitis pigmentosa 58,OMIM:613617,3
retinitis pigmentosa 59,OMIM:613861,3
retinitis pigmentosa 60,OMIM:613983,3
retinitis pigmentosa 62,OMIM:614181,3
retinitis pigmentosa 63,OMIM:614494,2
cone-rod dystrophy 16,OMIM:614500,3
retinitis pigmentosa 64,OMIM:614500,3
cone-rod dystrophy 15,OMIM:613660,3
retinitis pigmentosa 65,OMIM:613660,3
retinitis pigmentosa 68,OMIM:615725,3
retinitis pigmentosa 69,OMIM:615780,3
"retinitis pigmentosa 7, digenic",OMIM:608133,3
retinitis pigmentosa 70,OMIM:615922,3
retinitis pigmentosa with or without situs inversus,OMIM:615434,3
leber congenital amaurosis 3,OMIM:604232,3
"retinitis pigmentosa, juvenile, autosomal recessive",OMIM:604232,3
"cone-rod dystrophy, x-linked, 1",OMIM:304020,3
retinitis pigmentosa 3,OMIM:300029,3
"retinitis pigmentosa, x-linked, and sinorespiratory infections, with or without deafness",OMIM:300455,3
"macular degeneration, x-linked atrophic",OMIM:300834,3
"retinitis pigmentosa, y-linked",OMIM:400004,2
leber congenital amaurosis 8,OMIM:613835,3
pigmented paravenous chorioretinal atrophy,OMIM:172870,3
"retinitis pigmentosa-12, autosomal recessive",OMIM:600105,3
"night blindness, congenital stationary, autosomal dominant 2",OMIM:163500,3
retinitis pigmentosa-40,OMIM:613801,3
bothnia retinal dystrophy,OMIM:607475,3
newfoundland rod-cone dystrophy,OMIM:607476,3
fundus albipunctatus,OMIM:136880,3
"choriodal dystrophy, central areolar 2",OMIM:613105,3
"macular dystrophy, vitelliform, 3",OMIM:608161,3
retinitis pigmentosa 7 and digenic,OMIM:608133,3
leber congenital amaurosis 18,OMIM:608133,3
"macular dystrophy, patterned, 1",OMIM:169150,3
retinitis punctata albescens,OMIM:136880,3
"night blindness, congenital stationary, autosomal dominant 1",OMIM:610445,3
"retinitis pigmentosa 4, autosomal dominant or recessive",OMIM:613731,3
mitchell-riley syndrome,OMIM:615710,3
"retinol dystrophy, iris coloboma, and comedogenic acne syndrome",OMIM:615147,3
exudative vitreoretinopathy 1,OMIM:133780,3
retinopathy of prematurity,OMIM:133780,3
retinoschisis,OMIM:312700,3
"rett syndrome, congenital variant",OMIM:613454,3
"anemia, hemolytic, rh-null, regulator type",OMIM:268150,3
rh-mod syndrome,-666,3
"[blood group, rhesus]",OMIM:111690,3
"rh-null disease, amorph type",-666,3
"rhabdomyolysis, cerivastatin-induced",-666,3
"rhabdomyosarcoma, alveolar",OMIM:268220,3
"goiter, multinodular 1, with or without sertoli-leydig cell tumors",OMIM:138800,3
pleuropulmonary blastoma,OMIM:601200,3
"rhabdomyosarcoma, embryonal, 2",OMIM:180295,3
"mitochondrial complex iii deficiency, nuclear type 4",OMIM:615159,3
peroxisome biogenesis disorder 9b,OMIM:614879,3
"rhizomelic chondrodysplasia punctata, type 1",OMIM:215100,3
"rhizomelic chondrodysplasia punctata, type 3",OMIM:600121,3
riboflavin deficiency,OMIM:615026,3
ribose 5-phosphate isomerase deficiency,OMIM:608611,3
rickets due to defect in vitamin d 25-hydroxylation,OMIM:600081,3
"?osteoporosis, involutional",OMIM:166710,1
"rickets, vitamin d-resistant, type iia",OMIM:277440,3
riddle syndrome,OMIM:611943,3
"axenfeld-rieger syndrome, type 3",OMIM:602482,3
iris hypoplasia and glaucoma,OMIM:601631,3
rieger or axenfeld anomalies,OMIM:602482,3
"iridogoniodysgenesis, type 1",OMIM:601631,3
"rieger syndrome, type 2",-666,2
"rigidity and multifocal seizure syndrome, lethal neonatal",OMIM:614498,3
?morning glory disc anomaly,OMIM:120430,3
keratitis,OMIM:148190,3
optic nerve hypoplasia,OMIM:165550,3
aniridia,OMIM:106210,3
cataract with late-onset corneal dystrophy,OMIM:106210,3
coloboma of optic nerve,OMIM:120430,3
gillespie syndrome,OMIM:206700,3
foveal hypoplasia 1,OMIM:136520,3
"coloboma, ocular",OMIM:120200,3
"axenfeld-rieger syndrome, type 1",OMIM:180500,3
"iridogoniodysgenesis, type 2",OMIM:137600,3
ring dermoid of cornea,OMIM:180550,3
peters anomaly,OMIM:604229,3
"glaucoma 3a, primary open angle, congenital, juvenile, or adult onset",OMIM:231300,3
"coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation",OMIM:120433,3
"cardiomyopathy, familial hypertrophic",OMIM:192600,3
"myopathy, distal, tateyama type",OMIM:614321,3
rippling muscle disease,OMIM:606072,3
"creatine phosphokinase, elevated serum",OMIM:123320,3
long qt syndrome 9,OMIM:611818,3
"muscular dystrophy, limb-girdle, type ic",OMIM:607801,3
rippling muscle disease-1,OMIM:600332,2
robin sequence with cleft mandible and limb anomalies,OMIM:268305,3
"robinow syndrome, autosomal dominant",OMIM:180700,3
"brachydactyly, type b1",OMIM:113000,3
"robinow syndrome, autosomal recessive",OMIM:268310,3
"charcot-marie-tooth disease, dominant intermediate d",OMIM:607791,3
"charcot-marie-tooth disease, type 2j",OMIM:607736,3
"neuropathy, congenital hypomyelinating",OMIM:605253,3
"charcot-marie-tooth disease, type 2i",OMIM:607677,3
"charcot-marie-tooth disease, type 1b",OMIM:118200,3
"charcot-marie-tooth disease, type 1a",OMIM:118220,3
"neuropathy, inflammatory demyelinating",OMIM:139393,3
"neuropathy, recurrent, with pressure palsies",OMIM:162500,3
"charcot-marie-tooth disease, type 1e",OMIM:118300,3
roussy-levy syndrome,OMIM:180800,3
dejerine-sottas disease,OMIM:145900,3
"charcot-marie-tooth disease, type 4f",OMIM:614895,3
"charcot-marie-tooth disease, type 1d",OMIM:607678,3
"neuropathy, congenital hypomyelinating, 1",OMIM:605253,3
rubinstein-taybi syndrome,OMIM:180849,3
dent disease,OMIM:300009,3
"nephrolithiasis, type i",OMIM:310468,3
"proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis",OMIM:308990,3
hypophosphatemic rickets,OMIM:300554,3
"sandhoff disease, infantile, juvenile, and adult forms",OMIM:268800,3
"sarcoma, synovial",OMIM:300813,1
"sars infection, protection against",-666,2
genitopatellar syndrome,OMIM:606170,3
sbbyss syndrome,OMIM:603736,3
roberts syndrome,OMIM:268300,3
sc phocomelia syndrome,OMIM:269000,3
scalp-ear-nipple syndrome,OMIM:181270,3
"colorectal cancer, hereditary nonpolyposis, type 1",OMIM:120435,3
"colorectal cancer, hereditary nonpolyposis, type 2",OMIM:609310,3
muir-torre syndrome,OMIM:158320,3
mismatch repair cancer syndrome,OMIM:276300,3
"colorectal cancer, hereditary nonpolyposis, type 5",OMIM:614350,3
"endometrial cancer, familial",OMIM:608089,3
"colorectal cancer, hereditary nonpolyposis, type 4",OMIM:614337,3
cinca syndrome,OMIM:607115,3
familial cold-induced inflammatory syndrome 1,OMIM:120100,3
muckle-wells syndrome,OMIM:191900,3
"emery-dreifuss muscular dystrophy 6, x-linked",OMIM:300696,3
"myopathy, x-linked, with postural muscle atrophy",OMIM:300696,3
"scapuloperoneal myopathy, x-linked dominant",OMIM:300695,3
"hemophagocytic lymphohistiocytosis, familial, 1",OMIM:267700,2
"myopathy, reducing body, x-linked, childhood-onset",OMIM:300718,3
"myopathy, reducing body, x-linked, severe early-onset",OMIM:300717,3
"cardiomyopathy, dilated, 1s",OMIM:613426,3
"myopathy, myosin storage",OMIM:608358,3
"scapuloperoneal syndrome, myopathic type",OMIM:181430,3
"cardiomyopathy, familial hypertrophic, 1",OMIM:192600,3
laing distal myopathy,OMIM:160500,3
left ventricular noncompaction 5,OMIM:613426,3
"?muscular dystrophy, limb-girdle, type 2r",OMIM:615325,3
"myopathy, myofibrillar, 1",OMIM:601419,3
"scapuloperoneal syndrome, neurogenic, kaeser type",OMIM:181400,3
"cardiomyopathy, dilated, 1i",OMIM:604765,3
schimke immunoosseous dysplasia,OMIM:242900,3
noonan syndrome 8,OMIM:615355,3
kanzaki disease,OMIM:609242,3
"schindler disease, type i",OMIM:609241,3
"schindler disease, type iii",OMIM:609241,3
"mental retardation, autosomal dominant 29",OMIM:616078,3
schinzel-giedion midface retraction syndrome,OMIM:269150,3
holoprosencephaly-4,OMIM:142946,3
schizophrenia,OMIM:181500,2
"schizophrenia, neurophysiologic defect in",-666,2
schneckenbecken dysplasia,OMIM:269250,3
"meningioma, nf2-related, somatic",OMIM:607174,3
"neurofibromatosis, type 2",OMIM:101000,3
schwannomatosis,OMIM:162091,3
"dyssegmental dysplasia, silverman-handmaker type",OMIM:224410,3
"schwartz-jampel syndrome, type 1",OMIM:255800,3
"scid, autosomal recessive, t-negative/b-positive type",OMIM:600802,3
cenani-lenz syndactyly syndrome,OMIM:212780,3
sclerosteosis 2,OMIM:614305,3
"scoliosis, idiopathic 1",-666,2
"scoliosis, idiopathic 2",-666,2
scott syndrome,OMIM:262890,3
scurvy,-666,3
"sebaceous tumors, somatic",-666,3
"deafness, autosomal dominant 17",OMIM:603622,3
may-hegglin anomaly,OMIM:155100,3
sebastian syndrome,OMIM:605249,3
epstein syndrome,OMIM:153650,3
fechtner syndrome,OMIM:153640,3
macrothrombocytopenia and progressive sensorineural deafness,OMIM:600208,3
seborrhea-like dermatitis with psoriasiform elements,OMIM:610227,3
"cutaneous telangiectasia and cancer syndrome, familial",OMIM:614564,3
seckel syndrome 1,OMIM:210600,3
"microcephaly 6, primary, autosomal recessive",OMIM:608393,3
seckel syndrome 4,OMIM:613676,3
"microcephaly 9, primary, autosomal recessive",OMIM:614852,3
seckel syndrome 5,OMIM:613823,3
seckel syndrome 7,OMIM:614851,3
"segawa syndrome, recessive",OMIM:605407,3
"seizures, benign familial infantile, 1",OMIM:601764,2
"convulsions, familial infantile, with paroxysmal choreoathetosis",OMIM:602066,3
episodic kinesigenic dyskinesia 1,OMIM:128200,3
"seizures, benign familial infantile, 2",OMIM:605751,3
"epileptic encephalopathy, early infantile, 11",OMIM:613721,3
"seizures, benign familial infantile, 3",OMIM:607745,3
"seizures, benign familial infantile, 4",OMIM:612627,2
"epileptic encephalopathy, early infantile, 7",OMIM:613720,3
myokymia,OMIM:121200,3
"seizures, benign neonatal, 1",OMIM:121200,3
"seizures, benign neonatal, type 2",OMIM:121201,3
selective t-cell defect,OMIM:269840,3
"cataract 38, autosomal recessive",OMIM:614691,3
sengers syndrome,OMIM:212350,3
senior-loken syndrome 3,OMIM:606995,2
nephronophthisis 4,OMIM:606966,3
senior-loken syndrome 4,OMIM:606996,3
senior-loken syndrome 5,OMIM:609254,3
?bardet-biedl syndrome 14,OMIM:615991,3
meckel syndrome 4,OMIM:611134,3
senior-loken syndrome 6,OMIM:610189,3
joubert syndrome 5,OMIM:610188,3
leber congenital amaurosis 10,OMIM:611755,3
bardet-biedl syndrome 16,OMIM:615993,3
senior-loken syndrome 7,OMIM:613615,3
joubert syndrome 4,OMIM:609583,3
"nephronophthisis 1, juvenile",OMIM:256100,3
senior-loken syndrome-1,OMIM:266900,3
"bartter syndrome, type 4a",OMIM:602522,3
sensorineural deafness with mild renal dysfunction,OMIM:602522,3
growth hormone deficiency with pituitary anomalies,OMIM:182230,3
"pituitary hormone deficiency, combined, 5",OMIM:182230,3
septooptic dysplasia,OMIM:182230,3
mullerian aplasia and hyperandrogenism,OMIM:158330,3
serkal syndrome,OMIM:611812,3
"enlarged vestibular aqueduct, digenic",OMIM:600791,3
sesame syndrome,OMIM:612780,3
"adenosine deaminase deficiency, partial",OMIM:102700,3
severe combined immunodeficiency due to ada deficiency,OMIM:102700,3
severe combined immunodeficiency due to il2 deficiency,-666,1
"severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation",OMIM:611291,3
"alpha/beta t-cell lymphopenia with gamma/delta t-cell expansion, severe cytomegalovirus infection, and autoimmunity",OMIM:609889,3
combined cellular and humoral immune defects with granulomas,OMIM:233650,3
"severe combined immunodeficiency, b cell-negative",OMIM:601457,3
omenn syndrome,OMIM:603554,3
"severe combined immunodeficiency, athabascan type",OMIM:602450,3
"severe combined immunodeficiency, t-cell negative, b-cell/natural killer cell-positive type",OMIM:608971,3
"combined immunodeficiency, x-linked, moderate",OMIM:312863,3
"severe combined immunodeficiency, x-linked",OMIM:300400,3
paroxysmal nonkinesigenic dyskinesia,OMIM:118800,3
"congenital disorder of glycosylation, type iil",OMIM:614576,3
shaheen syndrome,OMIM:615328,3
andersen syndrome,OMIM:170390,3
"atrial fibrillation, familial, 9",OMIM:613980,3
short qt syndrome 3,OMIM:609622,3
