gene_id,gene_name
NCBIGene:84126,ATRIP
NCBIGene:546,ATRX
NCBIGene:6310,ATXN1
NCBIGene:25814,ATXN10
NCBIGene:6311,ATXN2
NCBIGene:4287,ATXN3
NCBIGene:6314,ATXN7
NCBIGene:56970,ATXN7L3
NCBIGene:724066,ATXN8
NCBIGene:6315,ATXN8OS
NCBIGene:549,AUH
NCBIGene:6790,AURKA
NCBIGene:6795,AURKC
NCBIGene:26053,AUTS2
NCBIGene:10677,AVIL
NCBIGene:551,AVP
NCBIGene:554,AVPR2
NCBIGene:8312,AXIN1
NCBIGene:8313,AXIN2
NCBIGene:558,AXL
NCBIGene:567,B2M
NCBIGene:8706,B3GALNT1
NCBIGene:148789,B3GALNT2
NCBIGene:126792,B3GALT6
NCBIGene:26229,B3GAT3
NCBIGene:145173,B3GLCT
NCBIGene:2583,B4GALNT1
NCBIGene:2683,B4GALT1
NCBIGene:11285,B4GALT7
NCBIGene:11041,B4GAT1
NCBIGene:27077,B9D1
NCBIGene:80776,B9D2
NCBIGene:570,BAAT
NCBIGene:60468,BACH2
NCBIGene:9531,BAG3
NCBIGene:9529,BAG5
NCBIGene:10458,BAIAP2
NCBIGene:8815,BANF1
NCBIGene:55024,BANK1
NCBIGene:8314,BAP1
NCBIGene:580,BARD1
NCBIGene:581,BAX
NCBIGene:9031,BAZ1B
NCBIGene:92482,BBIP1
NCBIGene:582,BBS1
NCBIGene:79738,BBS10
NCBIGene:166379,BBS12
NCBIGene:583,BBS2
NCBIGene:585,BBS4
NCBIGene:129880,BBS5
NCBIGene:55212,BBS7
NCBIGene:27241,BBS9
NCBIGene:4059,BCAM
NCBIGene:10134,BCAP31
NCBIGene:54828,BCAS3
NCBIGene:587,BCAT2
NCBIGene:590,BCHE
NCBIGene:593,BCKDHA
NCBIGene:594,BCKDHB
NCBIGene:10295,BCKDK
NCBIGene:8915,BCL10
NCBIGene:53335,BCL11A
NCBIGene:64919,BCL11B
NCBIGene:596,BCL2
NCBIGene:604,BCL6
NCBIGene:53630,BCO1
NCBIGene:54880,BCOR
NCBIGene:63035,BCORL1
NCBIGene:613,BCR
NCBIGene:617,BCS1L
NCBIGene:627,BDNF
NCBIGene:55814,BDP1
NCBIGene:146227,BEAN1
NCBIGene:7439,BEST1
NCBIGene:10282,BET1
NCBIGene:631,BFSP1
NCBIGene:8419,BFSP2
NCBIGene:633,BGN
NCBIGene:727857,BHLHA9
NCBIGene:80114,BICC1
NCBIGene:23299,BICD2
NCBIGene:29998,BICRA
