gene_symbol,mim_number,entry_type
HSPD1,118190.0,gene
CHN1,118423.0,gene
CLCN1,118425.0,gene
CCK,118440.0,gene
CCKAR,118444.0,gene
CCKBR,118445.0,gene
CYP7A1,118455.0,gene
CETP,118470.0,gene
CYP11A1,118485.0,gene
CHAT,118490.0,gene
CHKA,118491.0,gene
CHRM2,118493.0,gene
CHRM3,118494.0,gene
CHRM4,118495.0,gene
CHRM5,118496.0,gene
CHRNA2,118502.0,gene
CHRNA3,118503.0,gene
CHRNA4,118504.0,gene
CHRNA5,118505.0,gene
CHRNB2,118507.0,gene
CHRNB3,118508.0,gene
CHRNB4,118509.0,gene
CHRM1,118510.0,gene
CHRNA7,118511.0,gene
VCAN,118661.0,gene
CSH2,118820.0,gene
CHML,118825.0,gene
CGA,118850.0,gene
CGB3,118860.0,gene
CTRL,118888.0,gene
CTRB1,118890.0,gene
CHGA,118910.0,gene
CHGB,118920.0,gene
SCG2,118930.0,gene
CMA1,118938.0,gene
CYMP,118943.0,predominantly phenotypes
CNTF,118945.0,gene
CNTFR,118946.0,gene
CS,118950.0,gene
CLTC,118955.0,gene
CLTA,118960.0,gene
CLTB,118970.0,gene
ITPRID2,118990.0,gene
COL4A3,120070.0,gene
COL4A2,120090.0,gene
CLPS,120105.0,gene
COL10A1,120110.0,gene
COL7A1,120120.0,gene
COL4A1,120130.0,gene
COL4A4,120131.0,gene
COL2A1,120140.0,gene/phenotype
COL1A1,120150.0,gene/phenotype
COL1A2,120160.0,gene
COL19A1,120165.0,gene
COL3A1,120180.0,gene
COL5A2,120190.0,gene
COL9A1,120210.0,gene
COL5A1,120215.0,gene
COL5A3,120216.0,gene
COL6A1,120220.0,gene
COL6A2,120240.0,gene
COL6A3,120250.0,gene
COL8A1,120251.0,gene
COL8A2,120252.0,gene
COL9A2,120260.0,gene
COL9A3,120270.0,gene
COL11A1,120280.0,gene
COL11A2,120290.0,gene
COL12A1,120320.0,gene
COL14A1,120324.0,gene
COL15A1,120325.0,gene
COL16A1,120326.0,gene
COL18A1,120328.0,gene
COL1AR,120340.0,gene
COL13A1,120350.0,gene
MMP1,120353.0,gene
MMP8,120355.0,gene
MMP2,120360.0,gene
MMP9,120361.0,gene
CSF1,120420.0,gene
MLH1,120436.0,gene
DCC,120470.0,gene
MME,120520.0,gene
C1QA,120550.0,gene
C1QB,120570.0,gene
C1QC,120575.0,gene
CD93,120577.0,gene
C1S,120580.0,gene
CR1,120620.0,gene
CR2,120650.0,gene
C3,120700.0,gene
C4A,120810.0,gene
C4B,120820.0,gene
C4BPA,120830.0,gene
C4BPB,120831.0,gene
C5,120900.0,gene
CD46,120920.0,gene
C8G,120930.0,gene
C9,120940.0,gene
C8A,120950.0,gene
C8B,120960.0,gene
ITGAM,120980.0,gene
CCN2,121009.0,gene
PPBP,121010.0,gene
GJB2,121011.0,gene
GJA4,121012.0,gene
GJA5,121013.0,gene
GJA1,121014.0,gene
GJA3,121015.0,gene
CBFB,121360.0,gene
SERPINA6,122500.0,gene
CRHBP,122559.0,gene
CRH,122560.0,gene
CRHR1,122561.0,gene
CYP2A6,122720.0,gene/phenotype
MSX2,123101.0,gene
CRP,123260.0,gene
CKB,123280.0,gene
CKMT1B,123290.0,gene
CKMT2,123295.0,gene
CKM,123310.0,gene
CRYAA,123580.0,gene
CRYAB,123590.0,gene
CRYBA1,123610.0,gene
CRYBB2,123620.0,gene
CRYBB3,123630.0,gene
CRYBA4,123631.0,gene
CRYGA,123660.0,gene
CRYGB,123670.0,gene
CRYGC,123680.0,gene
CRYGD,123690.0,gene
CRYZ,123691.0,gene
PCYT1A,123695.0,gene
CRYGS,123730.0,gene
CRYM,123740.0,gene
ATF1,123803.0,gene
PDE3A,123805.0,gene
CREB1,123810.0,gene
ATF2,123811.0,gene
CREM,123812.0,gene
CNGA1,123825.0,gene
CDK3,123828.0,gene
CDK4,123829.0,gene
CNP,123830.0,gene
CDK5,123831.0,gene
CDKN3,123832.0,gene
