Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
EDNRB,Hirschsprung disease,Strong,AR,MODERATE (A),Yes,C,0,"Moderate penetrance, Not actionable in childhood",Y,"17009072 , 20009762","HL, BOW, DERM",Sept 2016 - Oct 2016,3.0,0.6,1.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15
EDNRB,Waardenburg syndrome,Strong,AR,MODERATE (A),Yes,C,0,"Moderate penetrance, Not actionable in childhood",,"19764031, 20127975, 8630502","HL, BOW, DERM",Sept 2016 - Oct 2016,3.0,0.6,1.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15
EFEMP2,"Cutis laxa, autosomal recessive, type IB",Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,Y,"17937443, 16685658, 20389311, 19664000, 22070778","PULM, DERM",Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.14166666666666666
EFHC1,Myoclonic epilepsy,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"15258581, 17159113, 22727576, 18505993, 22926142",SEIZ,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
EFTUD2,Mandibulofacial dysostosis with microcephaly,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"24470203, 22305528, 23188108, 23879989",CHD,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75
EGR2,Charcot-Marie-Tooth disease,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"10502832, 9537424, 11239949, 12736090, 11545686, 22271166, 15947997",HYPOTO,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75
EIF2AK3,Wolcott-Rallison syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"19837917, 15220213, 25659842, 10932183",SK,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
EIF2B1,Leukoencephalopathy with vanishing white matter,Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"11835386, 18263758 , 15776425, 26285592,  25843247, 25761052","SEIZ, HYPOTO",Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.14166666666666666
ELANE,"Neutropenia, congenital",Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"10581030, 14962902, 23463630, 19775295, 11001877",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
ELN,Supravalvar aortic stenosis,Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"8096434, 11175284, 9215670, 19844261, 10942104","PULM, CHD, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1.0
EMD,"Muscular dystrophy, Emery-Dreifuss",Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"7894480, 10377322, 10480214, 8589715, 10382909, 9536090, 9195226","CM, COND, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0
ENG,"Telangiectasia, hereditary hemorrhagic, type 1",Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"16752392, 7802026, 15517393, 9554745, 15880681, 16429404","PULM, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0
ENPP1,"Arterial calcification, generalized, of infancy, 1",Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12881724, 15605415, 2001675",SK,Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75
EPB42,Spherocytosis,Moderate,AD,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"1558976, 8547605, 8547071, 8528207, 7772513, 21275958","BIL, AN_TH",Sept 2016 - Oct 2016,2.0,0.85,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.14166666666666666
EPCAM,Lynch syndrome,Strong,AD,MODERATE (A),No,C,0,"Adult-onset, Not actionable in childhood",,"17539898, 15872200, 19861671, 8574961, 16479259",BOW,Sept 2016 - Oct 2016,3.0,0.6,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15
EPHX1,"Hypercholanemia, familial",Limited,AR,UNKNOWN,Yes,C,0,Limited evidence for gene's role in disease,,12878321,AN_TH,Sept 2016 - Oct 2016,1.0,0.5,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041666666666666664
EPM2A,"Epilepsy, progressive myoclonic 2A (Lafora)",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12019207, 15781812, 10932264, 9771710, 9931343, 14532330",SEIZ,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
ERBB3,Lethal congenital contractural syndrome 2,Limited,AR,UNKNOWN,Yes,C,0,Limited evidence for gene's role in disease,Y,"17701904, 15378541",HYPOTO,Sept 2016 - Oct 2016,1.0,0.5,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664
ERCC1,Xeroderma pigmentosum,Limited,AR,UNKNOWN,Yes,C,0,Limited evidence for gene's role in disease,,"21612988, 23623389, 20346687, 11338401","HYPOTO, DERM",Sept 2016 - Oct 2016,1.0,0.5,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.041666666666666664
ERCC2,Xeroderma pigmentosum,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"1372108, 1757099, 9238033, 7825573, 24418926, 11709541, 7585650","AN_TH, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0
ERCC3,Xeroderma pigmentosum,Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,Y,"16947863, 26884178, 25620205",DERM,Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14166666666666666
ERCC4,Xeroderma pigmentosum,Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,Y,"9580660, 8797827,  20221251, 23623389","AN_TH, DERM",Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.14166666666666666
ERCC5,Xeroderma pigmentosum,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"12060391, 7951246, 11228268, 23370536, 11841555",DERM,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
ERCC6,Cockayne syndrome,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"641373, 16865293, 10447254, 9443879, 19894250, 25376329","SK, SEIZ, DERM",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0
