,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
HP:0007340,0.0140766725,0.017221745,-0.0003944477,0.0012084059,0.011226771,0.0049844435,-0.012067013,-0.0093723405,0.034373164,0.0011643618,-0.0033024282,-0.0044086617,-0.014659692,1.9248596e-07,3.9771803e-07,1.6445563e-07,-1.1020188e-07,1.5864543e-08,-0.0065134927,0.014858864,-0.016768927,-0.011301674,0.0076226024,0.0006231927,-0.012244576,-0.011645869,0.0035581675,0.0029878537,0.004485661,0.017339997,0.01146546,-0.006407733,-0.0064081335,-0.011466858,0.017338302,0.00448634,0.0029851266,-0.0035594553,0.011647081,0.012244229,-0.00062436366,0.00762367,-0.011301901,0.016770376,-0.014857042,0.006513585,3.77284e-06,-4.0173194e-07,-2.6037435e-08,-1.353024e-07,-1.7302719e-07,0.014659786,-0.004406363,0.003303335,0.001163646,0.034374326,0.009367779,-0.0120688975,-0.004982067,-0.0112264855,-0.0012086375,0.00039451034,-0.02088532,-0.0076514366
HP:0002521,0.013813552,0.016899811,-0.00036850572,0.0023971824,0.015124408,0.003950232,-0.0097226165,-0.0015937779,0.01806796,-0.0065315915,0.003722846,-0.0025175246,-0.010060971,6.070009e-08,1.5662566e-07,4.942732e-08,-2.2853774e-08,-1.5595283e-07,0.00077375554,0.023284487,0.010604294,0.002826034,0.010005119,-0.0152452085,0.0026780958,0.021759907,-0.009521575,-0.01493621,-0.004721643,-0.0045902384,-0.00458393,0.003101588,0.003102317,0.0045843255,-0.004589287,-0.0047213715,-0.014933176,0.009523319,-0.021761507,-0.0026774677,0.01524524,0.010006387,0.0028259724,-0.010601579,-0.0232851,-0.0007744278,1.8984209e-06,-1.9811414e-07,-4.4619764e-08,-3.6864037e-08,-3.5485833e-08,0.010061296,-0.002517641,-0.0037226167,-0.0065321154,0.018067753,0.0015917451,-0.00972395,-0.0039484766,-0.015124262,-0.0023974446,0.00036857437,-0.020494893,-0.0075084134
HP:0001332,0.02314618,0.028317615,-0.00037972257,0.0028365646,0.018091409,0.0059060836,-0.017578984,-0.010191416,0.050184675,-0.00027459767,-0.0012176797,-0.005764368,-0.017671386,9.801005e-08,4.2610046e-07,1.1514722e-07,-4.757267e-08,4.6584244e-08,-0.00075795077,0.032662094,-0.0016864343,0.00927436,0.012207562,-0.014838179,-0.0032302174,0.022365045,-0.00034758192,-0.009577477,-0.0051498823,-0.009063721,0.0015516263,0.008223599,0.008224003,-0.001550768,-0.009063249,-0.005149707,-0.009574373,0.0003491416,-0.022366488,0.0032314155,0.014838606,0.012209519,0.009274386,0.0016898026,-0.03266104,0.0007573676,4.6065934e-06,-5.729424e-07,-5.5758824e-09,-1.433815e-07,-5.8092617e-08,0.017671932,-0.005762096,0.0012187541,-0.0002758593,0.05018563,0.010184889,-0.017581632,-0.005902797,-0.018091014,-0.002836945,0.00037981372,-0.034341633,-0.012581182
HP:0001337,0.025268387,0.030913977,-0.00055056065,0.0029852241,0.016049413,0.002842471,-0.012490006,-0.008714756,0.037603643,0.0011121659,-0.0030415438,-0.004101182,-0.0144109195,5.747792e-08,3.517165e-07,1.6481926e-07,-7.6583014e-08,1.0654884e-07,-0.0055077383,0.008283299,-0.0026879536,0.001536191,0.010470232,-0.01220268,0.0011906715,0.033440605,-0.0069227023,-0.019757848,-0.007208696,0.019220222,-0.0025203405,-0.0026852079,-0.002685927,0.002518273,0.019220734,-0.0072074053,-0.019754983,0.006924061,-0.033441864,-0.0011899429,0.0122025125,0.010470974,0.0015359756,0.0026884815,-0.008282698,0.005507826,3.896544e-06,-3.783319e-07,-7.002598e-08,-3.9978406e-08,-1.2628752e-07,0.014411008,-0.0040989527,0.0030423428,0.001111452,0.037604596,0.008709718,-0.012491778,-0.0028400703,-0.016049076,-0.002985515,0.00055066054,-0.037490293,-0.013734729
HP:0000006,0.05916666,0.072385944,-0.0013440214,0.0035491213,-0.011357393,0.028678987,-0.013752853,-0.051393613,-0.0054519116,-0.00050819665,-0.0030037193,0.065644845,-0.0025329345,1.3776157e-07,1.3478054e-07,-7.8660086e-08,-8.17369e-08,-2.9972916e-06,0.0019662657,0.0010926076,0.00022262374,-0.007835987,-0.005060247,0.015151258,-0.027908957,0.004967371,-0.018335802,-0.019543715,-0.0299623,0.0033588645,0.004111213,-0.018838588,-0.018838914,-0.0041119917,0.0033582167,-0.029962806,-0.01954394,0.018335978,-0.004968473,0.02790803,-0.01515248,-0.005060326,-0.007836327,-0.0002226679,-0.0010928845,-0.0019664501,1.8982772e-06,1.7741785e-07,3.753621e-08,-7.8952255e-08,-2.4241893e-07,0.0025280763,0.065645434,0.0029933376,-0.0005135513,-0.0054452154,0.051396564,-0.013752945,-0.028674997,0.011357284,-0.0035488536,0.0013438874,-0.087784596,-0.03216023
HP:0001315,0.019155927,0.023435825,-0.00045375898,0.0022578482,0.012746833,0.002559605,-0.008193014,-0.0030705836,0.022836857,-0.0053482275,0.0016595684,-0.0036452948,-0.009433989,1.1997923e-07,1.9860627e-07,7.0423724e-08,-4.938188e-08,-4.814015e-08,-0.0029840232,0.013927403,-0.0034387764,-0.0057264594,0.0076491935,-0.00064588856,-0.0029025276,-0.006476679,-0.0011224627,0.00034494238,0.0025220711,0.012645807,-0.000476143,0.0015791915,0.0015791584,0.00047550994,0.012645749,0.002522661,0.00034354298,0.0011216771,0.0064772945,0.0029024403,0.0006452356,0.0076499805,-0.005726337,0.0034403196,-0.013926861,0.002983891,1.9234749e-06,-2.18278e-07,-2.6276297e-08,-6.720178e-08,-8.1492345e-08,0.00943414,-0.003644851,-0.001658987,-0.0053485506,0.022837007,0.003067554,-0.008194258,-0.0025579878,-0.012746643,-0.0022580675,0.00045380363,-0.028421318,-0.010412274
HP:0008944,0.009384446,0.01148116,-0.00019943714,0.00018524192,0.007633609,0.002097969,-0.008091377,-0.005402404,0.025004523,-0.0010165861,-0.0005616521,-0.0020841837,-0.008368626,1.06413545e-07,2.0270028e-07,1.2128486e-07,-7.597276e-08,2.301152e-08,-0.003860676,0.014136165,-0.011954551,-0.018470382,0.001193331,0.0057834666,-0.019137742,-0.012617296,0.0021662384,0.00015471973,0.0019360288,0.022681441,0.006898875,-0.0038138456,-0.0038145573,-0.0069009857,0.022679728,0.0019368401,0.00015141828,-0.0021677015,0.012618441,0.019136839,-0.0057849777,0.0011941899,-0.018470682,0.011956087,-0.014135287,0.003860628,2.0876657e-06,-1.7148773e-07,-4.0776428e-08,-7.634395e-08,-1.5974827e-07,0.008368447,-0.0020830992,0.00056210376,-0.0010170732,0.025005156,0.005399001,-0.008092571,-0.002096368,-0.007633428,-0.00018539988,0.00019949654,-0.013923537,-0.0051009506
HP:0030903,0.0038311868,0.004687164,-0.00011744513,0.00046012737,0.0015464834,0.0009994195,-0.002669466,-0.00053085573,0.005013593,-0.0013845353,0.0002923446,-0.0006410452,-0.0017168265,1.8380097e-08,3.029489e-08,1.1407177e-08,-9.8327675e-09,8.7357634e-08,-0.0019751294,0.0028432775,0.0018559466,0.0010228171,0.0026194134,-0.0012594236,-0.002467056,0.0021894332,-0.0026143042,-0.0038898254,0.00055934454,0.0032346717,0.0006927693,-0.0017328312,-0.0017329762,-0.00069307856,0.00323442,0.00055946555,-0.0038897607,0.0026144716,-0.0021895617,0.0024670984,0.0012592927,0.0026195764,0.0010227202,-0.001855689,-0.0028433893,0.001975065,3.3945335e-07,-2.1482562e-08,-1.0361056e-08,-3.6683778e-09,-2.9724907e-08,0.0017168333,-0.0006409793,-0.00029225173,-0.0013846618,0.0050135492,0.0005302513,-0.0026698038,-0.0009989522,-0.001546447,-0.0004601673,0.00011745575,-0.0056842635,-0.002082462
HP:0002063,0.016254341,0.019885957,-0.0004152814,0.002330266,0.013642557,0.0035493225,-0.012498592,-0.0078471005,0.03502965,-0.002985795,-0.00022385146,-0.003699376,-0.01394544,3.3689442e-08,2.7605017e-07,1.1293839e-07,-8.4386464e-08,-7.318651e-08,-0.0023975053,0.024084022,-0.0025793226,-0.0044215564,0.0096726995,-0.01038345,-0.0077562826,0.01593972,-0.0023868878,-0.010485614,-0.00011271208,0.004898359,0.007940312,-0.0043046633,-0.004305435,-0.00794126,0.0048971055,-0.00011240042,-0.010484324,0.0023878077,-0.01594036,0.007756464,0.010382799,0.009674119,-0.004421702,0.0025817067,-0.024083372,0.002397105,3.3886377e-06,-3.9584e-07,-4.9892545e-08,-7.980391e-08,-6.179914e-08,0.0139455935,-0.0036979176,0.00022443586,-0.002986685,0.035030372,0.0078425305,-0.012500293,-0.0035469085,-0.013642264,-0.0023305146,0.00041536728,-0.024116281,-0.008835114
HP:0002059,0.019535288,0.023899946,-0.00029154122,0.002026789,0.015128387,0.0035868082,-0.011440732,-0.004339233,0.027327815,-0.0049017547,0.0030298089,-0.0034758747,-0.010633822,4.8604186e-08,1.7297712e-07,7.8407396e-08,-4.427797e-08,-1.296531e-07,0.0020180845,0.02210694,0.0075226417,0.0060434053,0.007739601,-0.015772304,0.00030298953,0.025647793,-0.00354001,-0.013387731,-0.00974836,0.0007261585,-0.004517122,0.0024175965,0.0024179493,0.0045169587,0.000727248,-0.009747788,-0.013384828,0.0035415476,-0.025649318,-0.00030197034,0.015772535,0.007740858,0.006043184,-0.007520219,-0.022107212,-0.0020185604,2.3110633e-06,-2.568416e-07,-5.643728e-08,-5.754689e-08,-3.15617e-08,0.010634073,-0.0034755087,-0.0030293209,-0.004902396,0.027328024,0.0043358067,-0.011442312,-0.003584724,-0.015128165,-0.002027051,0.0002916227,-0.028984172,-0.010618488
