orpha_code,disease_name,disorder_type,gene_symbol,gene_name,gene_locus,association_type,omim_gene,hgnc,ensembl
ORPHA:1810,Autosomal dominant hypohidrotic ectodermal dysplasia,Etiological subtype,TRAF6,TNF receptor associated factor 6,11p12,Disease-causing germline mutation(s) in,602355,12036,ENSG00000175104
ORPHA:1810,Autosomal dominant hypohidrotic ectodermal dysplasia,Etiological subtype,LRP6,LDL receptor related protein 6,12p13.2,Disease-causing germline mutation(s) in,603507,6698,ENSG00000070018
ORPHA:1810,Autosomal dominant hypohidrotic ectodermal dysplasia,Etiological subtype,KDF1,keratinocyte differentiation factor 1,1p36.11,Disease-causing germline mutation(s) in,616758,26624,ENSG00000175707
ORPHA:3437,Vogt-Koyanagi-Harada disease,Disease,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",6p21.32,Major susceptibility factor in,142857,4948,ENSG00000196126
ORPHA:3437,Vogt-Koyanagi-Harada disease,Disease,FAS,Fas cell surface death receptor,10q23.31,Major susceptibility factor in,134637,11920,ENSG00000026103
ORPHA:3437,Vogt-Koyanagi-Harada disease,Disease,PTPN22,protein tyrosine phosphatase non-receptor type 22,1p13.2,Major susceptibility factor in,600716,9652,ENSG00000134242
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,SFTPA1,surfactant protein A1,10q22.3,Major susceptibility factor in,178630,10798,ENSG00000122852
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,DSP,desmoplakin,6p24.3,Major susceptibility factor in,125647,3052,ENSG00000096696
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,TERT,telomerase reverse transcriptase,5p15.33,Major susceptibility factor in,187270,11730,ENSG00000164362
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,TERC,telomerase RNA component,3q26.2,Major susceptibility factor in,602322,11727,ENSG00000270141
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",11p15.5,Major susceptibility factor in,600770,7516,ENSG00000117983
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,SFTPA2,surfactant protein A2,10q22.3,Major susceptibility factor in,178642,10799,ENSG00000185303
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,RTEL1,regulator of telomere elongation helicase 1,20q13.33,Major susceptibility factor in,608833,15888,ENSG00000258366
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,FAM13A,family with sequence similarity 13 member A,4q22.1,Major susceptibility factor in,613299,19367,ENSG00000138640
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,STN1,STN1 subunit of CST complex,10q24.33,Major susceptibility factor in,613128,26200,ENSG00000107960
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,ATP11A,ATPase phospholipid transporting 11A,13q34,Major susceptibility factor in,605868,13552,ENSG00000068650
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,DPP9,dipeptidyl peptidase 9,19p13.3,Major susceptibility factor in,608258,18648,ENSG00000142002
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,PARN,poly(A)-specific ribonuclease,16p13.12,Major susceptibility factor in,604212,8609,ENSG00000140694
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,SFTPC,surfactant protein C,8p21.3,Major susceptibility factor in,178620,10802,ENSG00000168484
ORPHA:2032,Idiopathic pulmonary fibrosis,Disease,ABCA3,ATP binding cassette subfamily A member 3,16p13.3,Candidate gene tested in,601615,33,ENSG00000167972
ORPHA:198,Occipital horn syndrome,Disease,ATP7A,ATPase copper transporting alpha,Xq21.1,Disease-causing germline mutation(s) in,300011,869,ENSG00000165240
ORPHA:891,Familial exudative vitreoretinopathy,Disease,CTNNB1,catenin beta 1,3p22.1,Disease-causing germline mutation(s) (loss of function) in,116806,2514,ENSG00000168036
ORPHA:891,Familial exudative vitreoretinopathy,Disease,FZD4,frizzled class receptor 4,11q14.2,Disease-causing germline mutation(s) in,604579,4042,ENSG00000174804
ORPHA:891,Familial exudative vitreoretinopathy,Disease,LRP5,LDL receptor related protein 5,11q13.2,Disease-causing germline mutation(s) in,603506,6697,ENSG00000162337
ORPHA:891,Familial exudative vitreoretinopathy,Disease,NDP,norrin cystine knot growth factor NDP,Xp11.3,Disease-causing germline mutation(s) in,300658,7678,ENSG00000124479
ORPHA:891,Familial exudative vitreoretinopathy,Disease,TSPAN12,tetraspanin 12,7q31.31,Disease-causing germline mutation(s) in,613138,21641,ENSG00000106025
ORPHA:891,Familial exudative vitreoretinopathy,Disease,ZNF408,zinc finger protein 408,11p11.2,Disease-causing germline mutation(s) in,616454,20041,ENSG00000175213
ORPHA:466688,Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,Malformation syndrome,FRMD4A,FERM domain containing 4A,10p13,Disease-causing germline mutation(s) in,616305,25491,ENSG00000151474
ORPHA:466650,Exercise-induced malignant hyperthermia,Disease,RYR1,ryanodine receptor 1,19q13.2,Major susceptibility factor in,180901,10483,ENSG00000196218
ORPHA:466962,SMARCA4-deficient sarcoma of thorax,Disease,SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,19p13.2,Disease-causing somatic mutation(s) in,603254,11100,ENSG00000127616
ORPHA:466950,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,Clinical subtype,WAC,WW domain containing adaptor with coiled-coil,10p12.1,Disease-causing germline mutation(s) (loss of function) in,615049,17327,ENSG00000095787
ORPHA:466926,Seizures-scoliosis-macrocephaly syndrome,Disease,EXT2,exostosin glycosyltransferase 2,11p11.2,Disease-causing germline mutation(s) (loss of function) in,608210,3513,ENSG00000151348
ORPHA:466934,VPS11-related autosomal recessive hypomyelinating leukodystrophy,Disease,VPS11,VPS11 core subunit of CORVET and HOPS complexes,11q23.3,Disease-causing germline mutation(s) (loss of function) in,608549,14583,ENSG00000160695
ORPHA:466921,Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome,Disease,TTN,titin,2q31.2,Disease-causing germline mutation(s) (loss of function) in,188840,12403,ENSG00000155657
ORPHA:466806,Autosomal dominant thrombocytopenia with platelet secretion defect,Disease,SLFN14,schlafen family member 14,17q12,Disease-causing germline mutation(s) in,614958,32689,ENSG00000236320
