GeneSym	OMIMID	GeneID
BMIQ3	OMIM:607446	337895
BMIQ5	OMIM:608558	449016
BMIQ6	OMIM:608559	449017
BMIQ7	OMIM:608410	404683
BMIQ8	OMIM:603188	56694
BMND10	OMIM:612113	100188883
BMND11	OMIM:612114	100188884
BMND13	OMIM:612727	100294717
BMND14	OMIM:612728	100294718
BMND2	OMIM:605833	338027
BMND3	OMIM:606928	246259
BMND4	OMIM:300536	554316
BMND5	OMIM:609354	554315
BMND6	OMIM:609876	100188797
BMND9	OMIM:612110	100188882
BMP1	OMIM:112264	649
BMP15	OMIM:300247	9210
BMP4	OMIM:112262	652
BMPER	OMIM:608699	168667
BMPR2	OMIM:600799	659
BMS1	OMIM:611448	9790
BOLA3	OMIM:613183	388962
BOP	OMIM:612691	100294715
BOS2	OMIM:120502	64585
BPGM	OMIM:613896	669
BPPV	OMIM:193007	619536
BRAT1	OMIM:614506	221927
BRCA1	OMIM:113705	672
BTK	OMIM:300300	695
BTNL2	OMIM:606000	56244
BUB1	OMIM:602452	699
BRIP1	OMIM:605882	83990
BULN	OMIM:607499	337893
BWQTL2	OMIM:613459	100502569
BWQTL4	OMIM:615192	101448071
BZX	OMIM:301845	8255
C10orf11	OMIM:614537	83938
C10orf2	OMIM:606075	56652
C12orf57	OMIM:615140	113246
C12orf65	OMIM:613541	91574
C15orf41	OMIM:615626	84529
C16DELQ22	OMIM:614541	100874527
C19orf12	OMIM:614297	83636
C1GALT1C1	OMIM:300611	29071
C1QA	OMIM:120550	712
C1QB	OMIM:120570	713
C1QC	OMIM:120575	714
C1QTNF5	OMIM:608752	114902
C1R	OMIM:613785	715
C1S	OMIM:120580	716
C21orf59	OMIM:615494	56683
C2CD3	OMIM:615944	26005
C2orf71	OMIM:613425	388939
C3	OMIM:120700	718
C4A	OMIM:120810	720
C4B	OMIM:120820	721
C4orf26	OMIM:614829	152816
C5	OMIM:120900	727
C5orf42	OMIM:614571	65250
C6	OMIM:217050	729
C7	OMIM:217070	730
C8A	OMIM:120950	731
C8B	OMIM:120960	732
C8orf37	OMIM:614477	157657
C9	OMIM:120940	735
C9orf72	OMIM:614260	203228
CA12	OMIM:603263	771
